accession	complete	completeSingle	completeDuplicated	fragmented	missing	total	lineageDb	score	kingdom	phylum	class	order	family	genus	species	name	count_tyrosinases
UP000075357	532	529	3	3	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000076494	535	533	2	1	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000076535	534	532	2	0	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000093355	531	529	2	0	6	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000187047	537	534	3	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000196320	533	532	1	1	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000199009	537	535	2	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000199183	533	530	3	0	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000199422	537	533	4	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium		Microbacterium sp. cf046	1.0
UP000215463	535	534	1	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000221369	536	533	3	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000245623	536	532	4	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000252505	534	531	3	0	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000253508	533	528	5	0	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000262172	535	534	1	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000273158	536	535	1	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000278458	536	535	1	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000294645	537	534	3	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000297593	536	533	3	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000298358	537	535	2	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000315916	326	308	18	93	118	537	micrococcales_odb10	78		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000317209	535	531	4	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000318564	537	533	4	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000319804	534	531	3	0	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000320235	528	525	3	0	9	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000321196	533	530	3	0	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000321225	533	531	2	1	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000321949	536	534	2	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000325827	534	530	4	1	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000326838	534	533	1	0	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000432812	533	532	1	0	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000440939	531	528	3	1	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000517712	535	534	1	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000526083	534	531	3	1	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000537775	536	533	3	1	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000543598	535	532	3	1	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000552045	535	534	1	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000573729	533	530	3	4	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000576969	537	536	1	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000594480	462	460	2	1	74	537	micrococcales_odb10	86		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000633205	534	533	1	1	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000657592	534	533	1	1	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000680132	536	459	77	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000059097	535	532	3	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000187185	534	532	2	0	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000276888	530	522	8	3	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000280903	536	534	2	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000293995	532	531	1	1	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000298650	535	528	7	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000422989	534	529	5	0	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000515718	410	409	1	1	126	537	micrococcales_odb10	76		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium			
UP000016033	528	526	2	5	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium maritypicum		
UP000051768	533	531	2	1	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microcella			
UP000293519	530	527	3	2	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microcella			
UP000517724	534	533	1	2	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microcella			
UP000552883	531	529	2	3	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microcella			
UP000058305	523	521	2	0	14	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microterricola			
UP000198867	534	533	1	1	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Mycetocola			
UP000244962	536	535	1	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Mycetocola			
UP000269438	534	481	53	0	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Mycetocola			
UP000270299	534	533	1	0	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Mycetocola			
UP000196778	528	527	1	2	7	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Mycetocola	Mycetocola reblochoni		
UP000309133	528	516	12	3	6	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Naasia			
UP000190857	534	533	1	1	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Okibacterium			
UP000558183	534	532	2	0	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Planctomonas			
UP000051200	534	533	1	0	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Plantibacter			
UP000243077	505	504	1	1	31	537	micrococcales_odb10	94		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Pontimonas			
UP000516154	529	528	1	1	7	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Protaetiibacter			
UP000278886	530	527	3	0	7	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Protaetiibacter			
UP000322159	526	524	2	2	9	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Protaetiibacter			
UP000237697	526	522	4	3	8	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Pseudoclavibacter			
UP000431744	529	526	3	1	7	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Pseudoclavibacter			
UP000437453	507	481	26	4	26	537	micrococcales_odb10	95		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Pseudoclavibacter			
UP000467240	524	517	7	0	13	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Pseudoclavibacter			
UP000481339	501	500	1	3	33	537	micrococcales_odb10	93		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Pseudoclavibacter			
UP000617531	525	521	4	2	10	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Pseudolysinimonas			
UP000050868	524	521	3	0	13	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Rathayibacter			
UP000051858	524	520	4	2	11	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Rathayibacter			
UP000052979	510	506	4	1	26	537	micrococcales_odb10	95		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Rathayibacter			
UP000076717	462	457	5	35	40	537	micrococcales_odb10	92		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Rathayibacter			
UP000077071	529	525	4	1	7	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Rathayibacter			
UP000316560	523	520	3	1	13	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Rhodoglobus			
UP000067708	514	513	1	1	22	537	micrococcales_odb10	95		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Rhodoluna			
UP000243784	510	509	1	2	25	537	micrococcales_odb10	95		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Rhodoluna			
UP000219440	535	532	3	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Salinibacterium			
UP000244978	531	530	1	1	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Salinibacterium			
UP000661634	417	385	32	23	97	537	micrococcales_odb10	81		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Salinibacterium			
UP000321885	530	528	2	2	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Salinibacterium			
UP000315365	532	530	2	0	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Schumannella			
UP000256486	528	526	2	0	9	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Subtercola			
UP000306192	531	525	6	0	6	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Subtercola			
UP000598775	531	530	1	1	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Subtercola			
UP000679172	530	528	2	1	6	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Subtercola			
UP000298488	522	521	1	1	14	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Terrimesophilobacter			
UP000000754	537	527	10	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000011189	431	430	1	17	89	537	micrococcales_odb10	83		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000030301	529	528	1	4	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000053253	508	507	1	2	27	537	micrococcales_odb10	94		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000054460	533	532	1	0	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000176251	536	533	3	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000181917	530	521	9	0	7	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000182652	537	536	1	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000190514	537	532	5	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000195913	526	525	1	10	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000199258	534	529	5	1	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000237061	535	533	2	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000239972	536	534	2	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000244710	512	511	1	0	25	537	micrococcales_odb10	95		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000244718	468	458	10	25	44	537	micrococcales_odb10	91		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000246303	532	531	1	2	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000247980	536	535	1	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000273807	536	525	11	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000280861	536	535	1	1	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000295411	532	530	2	0	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000295511	533	520	13	1	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000305124	534	531	3	1	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000305233	529	528	1	0	8	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000306826	532	530	2	1	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000326852	531	530	1	0	6	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000543556	536	535	1	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000544090	531	527	4	1	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000547458	536	534	2	1	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000655366	533	529	4	0	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000664164	535	528	7	1	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000676885	532	530	2	1	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000683653	500	494	6	0	37	537	micrococcales_odb10	93		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000687525	528	522	6	1	8	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000692783	516	506	10	2	19	537	micrococcales_odb10	96		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter		Arthrobacter sp. ISL-28	1.0
UP000060433	516	510	6	0	21	537	micrococcales_odb10	96		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000062833	528	526	2	1	8	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000095776	533	522	11	0	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000283134	489	488	1	30	18	537	micrococcales_odb10	96		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000296209	535	529	6	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000317144	532	529	3	0	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter			
UP000010729	507	501	6	8	22	537	micrococcales_odb10	95		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter crystallopoietes		
UP000003828	532	525	7	3	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter globiformis		
UP000247286	519	518	1	2	16	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Auritidibacter			
UP000256727	537	534	3	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Citricoccus			
UP000306924	526	523	3	0	11	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Citricoccus		Citricoccus sp. SGAir0253	1.0
UP000319746	513	500	13	0	24	537	micrococcales_odb10	95		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Enteractinococcus			
UP000265419	530	528	2	0	7	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Galactobacter			
UP000273119	532	532	0	0	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Galactobacter			
UP000547528	459	451	8	1	77	537	micrococcales_odb10	85		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Garicola			
UP000218926	534	530	4	2	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Glutamicibacter			
UP000316612	528	524	4	6	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Glutamicibacter			
UP000307000	532	527	5	1	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Glutamicibacter			
UP000006878	536	533	3	1	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter arilaitensis		
UP000218573	528	524	4	1	8	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria			
UP000270616	529	528	1	2	6	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria			
UP000277032	520	519	1	2	15	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria			
UP000325957	529	528	1	2	6	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria		Kocuria coralli	1.0
UP000638848	534	532	2	1	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria			
UP000057181	519	516	3	1	17	537	micrococcales_odb10	96		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria			
UP000009877	533	533	0	0	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria palustris		
UP000008838	528	527	1	1	8	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria rhizophila		
UP000177882	518	517	1	1	18	537	micrococcales_odb10	96		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus			
UP000198881	533	531	2	2	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus			
UP000540191	521	521	0	2	14	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus			
UP000000738	527	526	1	3	7	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus		
UP000183530	531	529	2	0	6	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Neomicrococcus			
UP000054023	510	509	1	1	26	537	micrococcales_odb10	95		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Nesterenkonia			
UP000266615	520	520	0	0	17	537	micrococcales_odb10	96		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Nesterenkonia			
UP000460157	518	516	2	4	15	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Nesterenkonia			
UP000523139	523	523	0	0	14	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Nesterenkonia			
UP000535437	531	530	1	2	4	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Nesterenkonia			
UP000633136	529	528	1	0	8	537	micrococcales_odb10	98		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Nesterenkonia			
UP000317715	533	532	1	2	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Paenarthrobacter			
UP000594187	535	529	6	2	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Paenarthrobacter			
UP000523000	536	531	5	1	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Paeniglutamicibacter			
UP000012015	537	536	1	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Paeniglutamicibacter	Paeniglutamicibacter gangotriensis		
UP000053199	536	530	6	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudarthrobacter			
UP000522009	533	520	13	1	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudarthrobacter			
UP000515474	537	528	9	0	0	537	micrococcales_odb10	100		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudarthrobacter			
UP000053528	424	360	64	2	111	537	micrococcales_odb10	79		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudoglutamicibacter	Pseudoglutamicibacter albus		
UP000521748	521	515	6	3	13	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Psychromicrobium			
UP000061839	512	511	1	0	25	537	micrococcales_odb10	95		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Psychromicrobium			
UP000002007	526	525	1	6	5	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Renibacterium	Renibacterium salmoninarum		
UP000053171	493	493	0	1	43	537	micrococcales_odb10	91		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia			
UP000192359	517	517	0	1	19	537	micrococcales_odb10	96		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia			
UP000219947	491	491	0	3	43	537	micrococcales_odb10	91		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia			
UP000516404	522	521	1	0	15	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia			
UP000516421	516	516	0	2	19	537	micrococcales_odb10	96		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia			
UP000600171	519	519	0	3	15	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia			
UP000663268	519	519	0	2	16	537	micrococcales_odb10	97		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia			
UP000250241	375	374	1	77	85	537	micrococcales_odb10	84		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia			
UP000001883	465	465	0	3	69	537	micrococcales_odb10	87		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa		
UP000030982	493	489	4	1	43	537	micrococcales_odb10	91		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Sinomonas			
UP000070134	532	526	6	2	3	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Sinomonas			
UP000199767	535	534	1	0	2	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Sinomonas			
UP000187085	511	510	1	0	26	537	micrococcales_odb10	95		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Tersicoccus			
UP000325307	504	502	2	4	29	537	micrococcales_odb10	94		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Zafaria			
UP000292685	536	534	2	0	1	537	micrococcales_odb10	99		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Zhihengliuella			
