	kingdom	phylum	class	order	family	genus	species	count_tyrosinases	taxid	name	complete	completeSingle	completeDuplicated	fragmented	missing	total	lineageDb	score	proteomeCount	stdCdss	averageCdss	confidence	status
UP000226031	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emmonsia	Emmonsia crescens	7	73230	Emmonsia crescens	4826	4819	7	17	19	4862	onygenales_odb10	99	0	0.0	0	0	Unknown
UP000223968	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Helicocarpus	Helicocarpus griseus	13	1447875	Helicocarpus griseus UAMH5409	4835	4823	12	7	20	4862	onygenales_odb10	99	0	0.0	0	0	Unknown
UP000001631	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma capsulatum	7	447093	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	4689	4651	38	83	90	4862	onygenales_odb10	98	0	0.0	0	0	Unknown
UP000002624	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma capsulatum	7	544712	Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum)	3894	3893	1	454	514	4862	onygenales_odb10	89	0	0.0	0	0	Unknown
UP000008142	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma capsulatum	7	544711	Ajellomyces capsulatus (strain H88) (Darling's disease fungus) (Histoplasma capsulatum)	4644	4642	2	88	130	4862	onygenales_odb10	97	0	0.0	0	0	Unknown
UP000670092	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma capsulatum	7	5037	Ajellomyces capsulatus (Darling's disease fungus) (Histoplasma capsulatum)	4173	4171	2	170	519	4862	onygenales_odb10	89	0	0.0	0	0	Unknown
UP000009297	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma mississippiense (nom. inval.)	7	2059318	Ajellomyces capsulatus (strain NAm1 / WU24) (Darling's disease fungus) (Histoplasma capsulatum)	3928	3924	4	605	329	4862	onygenales_odb10	93	0	0.0	0	0	Unknown
UP000671143	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma ohiense (nom. inval.)	7	2902605	Histoplasma ohiense (nom. inval.)	4354	4350	4	98	410	4862	onygenales_odb10	91	0	0.0	0	0	Unknown
UP000224634	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Polytolypa	Polytolypa hystricis	8	1447883	Polytolypa hystricis UAMH7299	4803	4795	8	24	35	4862	onygenales_odb10	99	0	0.0	0	0	Unknown
UP000002035	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Microsporum	Microsporum canis	1	554155	Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)	4754	4750	4	60	48	4862	onygenales_odb10	99	0	0.0	0	0	Unknown
UP000002669	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Nannizzia	Nannizzia gypsea	1	535722	Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum)	4788	4783	5	53	21	4862	onygenales_odb10	99	0	0.0	0	0	Unknown
UP000008866	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton benhamiae	1	663331	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	4279	4277	2	240	343	4862	onygenales_odb10	92	0	0.0	0	0	Unknown
UP000024533	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton interdigitale	1	1215338	Trichophyton interdigitale (strain MR816)	4699	4589	110	55	108	4862	onygenales_odb10	97	0	0.0	0	0	Unknown
UP000749309	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton interdigitale	1	101480	Trichophyton interdigitale	3033	3028	5	60	1769	4862	onygenales_odb10	63	0	0.0	0	0	Unknown
UP000243015	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton rubrum	1	5551	Trichophyton rubrum (Athlete's foot fungus) (Epidermophyton rubrum)	4425	4419	6	50	387	4862	onygenales_odb10	92	0	0.0	0	0	Unknown
UP000242877	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ascosphaeraceae	Ascosphaera	Ascosphaera apis	1	392613	Ascosphaera apis ARSEF 7405	3939	3932	7	238	685	4862	onygenales_odb10	85	0	0.0	0	0	Unknown
UP000001628	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	Paracoccidioides	Paracoccidioides brasiliensis	6	502780	Paracoccidioides brasiliensis (strain Pb18)	4699	4697	2	46	117	4862	onygenales_odb10	97	0	0.0	0	0	Unknown
UP000002059	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	Paracoccidioides	Paracoccidioides lutzii	6	502779	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	4728	4723	5	67	67	4862	onygenales_odb10	98	0	0.0	0	0	Unknown
UP000001261	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides immitis	2	246410	Coccidioides immitis (strain RS) (Valley fever fungus)	4800	4712	88	18	44	4862	onygenales_odb10	99	0	0.0	0	0	Unknown
UP000054559	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides immitis	4	454286	Coccidioides immitis RMSCC 3703	3460	3442	18	636	766	4862	onygenales_odb10	84	0	0.0	0	0	Unknown
UP000054563	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides immitis	3	396776	Coccidioides immitis H538.4	3645	3628	17	520	697	4862	onygenales_odb10	85	0	0.0	0	0	Unknown
UP000002497	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	3	443226	Coccidioides posadasii (strain RMSCC 757 / Silveira) (Valley fever fungus)	4631	4622	9	104	127	4862	onygenales_odb10	97	0	0.0	0	0	Unknown
UP000002058	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Uncinocarpus	Uncinocarpus reesii	5	336963	Uncinocarpus reesii (strain UAMH 1704)	4163	4155	8	361	338	4862	onygenales_odb10	93	0	0.0	0	0	Unknown
UP000053317	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Phaeomoniella	Phaeomoniella chlamydospora	3	158046	Phaeomoniella chlamydospora	2694	2689	5	235	617	3546	eurotiomycetes_odb10	82	0	0.0	0	0	Unknown
UP000019373	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon	Endocarpon pusillum	5	1263415	Endocarpon pusillum (strain Z07020 / HMAS-L-300199) (Lichen-forming fungus)	3150	3139	11	91	305	3546	eurotiomycetes_odb10	91	0	0.0	0	0	Unknown
UP000606974	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon	Endocarpon pusillum	5	364733	Endocarpon pusillum	3331	3322	9	49	166	3546	eurotiomycetes_odb10	95	0	0.0	0	0	Unknown
UP000698800	Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Glutinoglossum	Glutinoglossum americanum	4	1670608	Glutinoglossum americanum	1517	1513	4	51	138	1706	ascomycota_odb10	91	0	0.0	0	0	Unknown
UP000750711	Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Trichoglossum	Trichoglossum hirsutum	4	265104	Trichoglossum hirsutum	1321	1314	7	123	262	1706	ascomycota_odb10	84	0	0.0	0	0	Unknown
UP000664521	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Heterodermia	Heterodermia speciosa	13	116794	Heterodermia speciosa	1615	1611	4	25	66	1706	ascomycota_odb10	96	0	0.0	0	0	Unknown
UP000664203	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Alectoria	Alectoria fallacina	5	1903189	Alectoria fallacina	1605	1602	3	32	69	1706	ascomycota_odb10	95	0	0.0	0	0	Unknown
UP000664534	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Imshaugia	Imshaugia aleurites	3	172621	Imshaugia aleurites	1598	1593	5	29	79	1706	ascomycota_odb10	95	0	0.0	0	0	Unknown
UP000578531	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Letharia	Letharia columbiana	2	112416	Letharia columbiana	1631	1582	49	28	47	1706	ascomycota_odb10	97	0	0.0	0	0	Unknown
UP000593566	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Letharia	Letharia lupina	2	560253	Letharia lupina	1644	1639	5	15	47	1706	ascomycota_odb10	97	0	0.0	0	0	Unknown
UP000664169	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Gomphillus	Gomphillus americanus	5	1940652	Gomphillus americanus	1616	1614	2	13	77	1706	ascomycota_odb10	95	0	0.0	0	0	Unknown
UP000053110	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria graminis	3	1268274	Blumeria graminis f. sp. tritici 96224	1719	1718	1	206	1309	3234	leotiomycetes_odb10	59	0	0.0	0	0	Unknown
UP000015441	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria hordei	3	546991	Blumeria graminis f. sp. hordei (strain DH14) (Barley powdery mildew) (Oidium monilioides f. sp. hordei)	3061	3048	13	81	92	3234	leotiomycetes_odb10	97	0	0.0	0	0	Unknown
UP000275772	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria hordei	2	2867405	Blumeria hordei (Barley powdery mildew) (Blumeria graminis f. sp. hordei)	2301	2287	14	39	894	3234	leotiomycetes_odb10	72	0	0.0	0	0	Unknown
UP000030854	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe necator	2	52586	Uncinula necator (Grape powdery mildew)	2867	2865	2	91	276	3234	leotiomycetes_odb10	91	0	0.0	0	0	Unknown
UP000237438	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe pulchra	2	225359	Erysiphe pulchra	2937	2925	12	122	175	3234	leotiomycetes_odb10	94	0	0.0	0	0	Unknown
UP000283383	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Golovinomyces	Golovinomyces cichoracearum	3	62708	Golovinomyces cichoracearum	2960	2943	17	43	231	3234	leotiomycetes_odb10	92	0	0.0	0	0	Unknown
UP000286134	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Oidium	Oidium neolycopersici	2	212602	Erysiphe neolycopersici	3019	3013	6	81	134	3234	leotiomycetes_odb10	95	0	0.0	0	0	Unknown
UP000241818	Fungi	Ascomycota	Leotiomycetes	Helotiales	Amorphothecaceae	Amorphotheca	Amorphotheca resinae	4	857342	Amorphotheca resinae ATCC 22711	4846	4839	7	53	278	5177	helotiales_odb10	94	0	0.0	0	0	Unknown
UP000256645	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Coleophoma	Coleophoma cylindrospora	11	1849047	Coleophoma cylindrospora	4833	4790	43	42	302	5177	helotiales_odb10	94	0	0.0	0	0	Unknown
UP000242519	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Marssonina	Marssonina coronariae	10	503106	Marssonina coronariae	4901	4900	1	101	175	5177	helotiales_odb10	96	0	0.0	0	0	Unknown
UP000006753	Fungi	Ascomycota	Leotiomycetes	Helotiales	Drepanopezizaceae	Drepanopeziza	Drepanopeziza brunnea	12	1072389	Marssonina brunnea f. sp. multigermtubi (strain MB_m1) (Marssonina leaf spot fungus)	5059	5055	4	28	90	5177	helotiales_odb10	98	0	0.0	0	0	Unknown
UP000005446	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea lozoyensis	10	1104152	Glarea lozoyensis (strain ATCC 74030 / MF5533)	1677	1675	2	420	3080	5177	helotiales_odb10	40	0	0.0	0	0	Unknown
UP000016922	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea lozoyensis	17	1116229	Glarea lozoyensis (strain ATCC 20868 / MF5171)	5035	5030	5	55	87	5177	helotiales_odb10	98	0	0.0	0	0	Unknown
UP000701801	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	Hymenoscyphus albidus	14	595503	Hymenoscyphus albidus	4840	4828	12	32	305	5177	helotiales_odb10	94	0	0.0	0	0	Unknown
UP000696280	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	Hymenoscyphus fraxineus	18	746836	Hymenoscyphus fraxineus	4832	4812	20	33	312	5177	helotiales_odb10	93	0	0.0	0	0	Unknown
UP000235371	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha bicolor	11	1095630	Hyaloscypha bicolor E	5069	5060	9	56	52	5177	helotiales_odb10	98	0	0.0	0	0	Unknown
UP000235672	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha hepaticicola	7	2082293	Hyaloscypha hepaticicola	5073	5066	7	68	36	5177	helotiales_odb10	99	0	0.0	0	0	Unknown
UP000235786	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha variabilis	18	1149755	Hyaloscypha variabilis (strain UAMH 11265 / GT02V1 / F) (Meliniomyces variabilis)	5110	5092	18	38	29	5177	helotiales_odb10	99	0	0.0	0	0	Unknown
UP000785200	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyphodiscaceae	Hyphodiscus	Hyphodiscus hymeniophilus	2	353542	Hyphodiscus hymeniophilus	4113	4100	13	88	976	5177	helotiales_odb10	81	0	0.0	0	0	Unknown
UP000469559	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula arida	9	1316785	Lachnellula arida	4632	4618	14	88	457	5177	helotiales_odb10	91	0	0.0	0	0	Unknown
UP000481288	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula cervina	7	1316786	Lachnellula cervina	4551	4537	14	98	528	5177	helotiales_odb10	89	0	0.0	0	0	Unknown
UP000431533	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula hyalina	5	1316788	Lachnellula hyalina	4727	4717	10	55	395	5177	helotiales_odb10	92	0	0.0	0	0	Unknown
UP000443090	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula occidentalis	6	215460	Lachnellula occidentalis	4549	4538	11	101	527	5177	helotiales_odb10	89	0	0.0	0	0	Unknown
UP000462212	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula subtilissima	5	602034	Lachnellula subtilissima	4330	4314	16	160	687	5177	helotiales_odb10	86	0	0.0	0	0	Unknown
UP000469558	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula suecica	10	602035	Lachnellula suecica	4191	4176	15	205	781	5177	helotiales_odb10	84	0	0.0	0	0	Unknown
UP000315522	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula willkommii	6	215461	Lachnellula willkommii	4015	4006	9	265	897	5177	helotiales_odb10	82	0	0.0	0	0	Unknown
UP000070700	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Mollisia	Mollisia scopiformis	18	149040	Mollisia scopiformis (Conifer needle endophyte fungus) (Phialocephala scopiformis)	5085	5077	8	71	21	5177	helotiales_odb10	99	0	0.0	0	0	Unknown
UP000184330	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Phialocephala	Phialocephala subalpina	29	576137	Phialocephala subalpina	5126	5104	22	16	35	5177	helotiales_odb10	99	0	0.0	0	0	Unknown
UP000824998	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	Amylocarpus	Amylocarpus encephaloides	12	45428	Amylocarpus encephaloides	4863	4852	11	57	257	5177	helotiales_odb10	95	0	0.0	0	0	Unknown
UP000664132	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	Cadophora	Cadophora malorum	20	108018	Cadophora malorum	5046	5031	15	49	82	5177	helotiales_odb10	98	0	0.0	0	0	Unknown
UP000244409	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	Cadophora	Cadophora sp. DSE1049	20	1485229	Cadophora sp. DSE1049	5024	4984	40	86	67	5177	helotiales_odb10	98	0	0.0	0	0	Unknown
UP000664768	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	Cadophora	Cadophora sp. M221	18	2774352	Cadophora sp. M221	4984	4958	26	83	110	5177	helotiales_odb10	97	0	0.0	0	0	Unknown
UP000423986	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	Helotiales sp. DMI_Dod_QoI	11	2728926	Helotiales sp. DMI_Dod_QoI	4976	4974	2	58	143	5177	helotiales_odb10	97	0	0.0	0	0	Unknown
UP000745206	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	Rhexocercosporidium	Rhexocercosporidium sp. MPI-PUGE-AT-0058	13	2042821	Rhexocercosporidium sp. MPI-PUGE-AT-0058	5085	5068	17	35	57	5177	helotiales_odb10	98	0	0.0	0	0	Unknown
UP000887226	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Calycina	Calycina marina	3	1763456	Calycina marina	4620	4615	5	41	516	5177	helotiales_odb10	90	0	0.0	0	0	Unknown
UP000254866	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pleuroascaceae	Venustampulla	Venustampulla echinocandica	11	2656787	Venustampulla echinocandica	4738	4720	18	43	396	5177	helotiales_odb10	92	0	0.0	0	0	Unknown
UP000178129	Fungi	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Rhynchosporium	Rhynchosporium commune	14	914237	Rhynchosporium commune	5114	5112	2	31	32	5177	helotiales_odb10	99	0	0.0	0	0	Unknown
UP000238072	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Rutstroemia	Rutstroemia sp. NJR-2017a BBW	11	2070414	Rutstroemia sp. NJR-2017a BBW	4308	4198	110	245	624	5177	helotiales_odb10	87	0	0.0	0	0	Unknown
UP000238611	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Rutstroemia	Rutstroemia sp. NJR-2017a BVV2	8	2070413	Rutstroemia sp. NJR-2017a BVV2	3731	3429	302	167	1279	5177	helotiales_odb10	75	0	0.0	0	0	Unknown
UP000238813	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Rutstroemia	Rutstroemia sp. NJR-2017a WRK4	12	2070412	Rutstroemia sp. NJR-2017a WRK4	4843	4661	182	105	229	5177	helotiales_odb10	95	0	0.0	0	0	Unknown
UP000297299	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botryotinia	Botryotinia calthae	9	38488	Botryotinia calthae	4930	4927	3	73	174	5177	helotiales_odb10	96	0	0.0	0	0	Unknown
UP000297527	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botryotinia	Botryotinia convoluta	10	54673	Botryotinia convoluta	5082	5081	1	25	70	5177	helotiales_odb10	98	0	0.0	0	0	Unknown
UP000297452	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botryotinia	Botryotinia narcissicola	10	278944	Botryotinia narcissicola	4693	4692	1	163	321	5177	helotiales_odb10	93	0	0.0	0	0	Unknown
UP000001798	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea	11	332648	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	5166	4645	521	6	5	5177	helotiales_odb10	99	0	0.0	0	0	Unknown
UP000008177	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea	13	999810	Botryotinia fuckeliana (strain T4) (Noble rot fungus) (Botrytis cinerea)	4628	4626	2	131	418	5177	helotiales_odb10	91	0	0.0	0	0	Unknown
UP000297229	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis elliptica	9	278938	Botrytis elliptica	5109	5107	2	19	49	5177	helotiales_odb10	99	0	0.0	0	0	Unknown
UP000531561	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis fragariae	9	1964551	Botrytis fragariae	5042	5039	3	22	113	5177	helotiales_odb10	97	0	0.0	0	0	Unknown
UP000297280	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis porri	7	87229	Botrytis porri	4927	4925	2	77	173	5177	helotiales_odb10	96	0	0.0	0	0	Unknown
UP000322873	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Monilinia	Monilinia fructicola	7	38448	Monilinia fructicola (Brown rot fungus) (Ciboria fructicola)	4175	3837	338	243	759	5177	helotiales_odb10	85	0	0.0	0	0	Unknown
UP000249056	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Monilinia	Monilinia fructigena	5	38457	Monilinia fructigena	2817	2757	60	442	1918	5177	helotiales_odb10	62	0	0.0	0	0	Unknown
UP000326757	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Monilinia	Monilinia laxa	7	61186	Monilinia laxa (Brown rot fungus) (Sclerotinia laxa)	4827	4534	293	93	257	5177	helotiales_odb10	95	0	0.0	0	0	Unknown
UP000672032	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Monilinia	Monilinia vaccinii-corymbosi	5	61207	Monilinia vaccinii-corymbosi	4866	4863	3	62	249	5177	helotiales_odb10	95	0	0.0	0	0	Unknown
UP000019487	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	Sclerotinia borealis	6	1432307	Sclerotinia borealis (strain F-4128)	4990	4986	4	50	137	5177	helotiales_odb10	97	0	0.0	0	0	Unknown
UP000001312	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	Sclerotinia sclerotiorum	4	665079	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)	4575	4573	2	238	364	5177	helotiales_odb10	92	0	0.0	0	0	Unknown
UP000624404	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	Sclerotinia trifoliorum	8	28548	Sclerotinia trifoliorum	5022	5012	10	74	81	5177	helotiales_odb10	98	0	0.0	0	0	Unknown
UP000566819	Fungi	Ascomycota	Leotiomycetes	Helotiales	Tricladiaceae	Cudoniella	Cudoniella acicularis	28	354080	Cudoniella acicularis	4263	4244	19	173	741	5177	helotiales_odb10	85	0	0.0	0	0	Unknown
UP000054321	Fungi	Ascomycota	Leotiomycetes	NA	Myxotrichaceae	Oidiodendron	Oidiodendron maius	7	913774	Oidiodendron maius (strain Zn)	3113	3094	19	65	56	3234	leotiomycetes_odb10	98	0	0.0	0	0	Unknown
UP000711815	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	Leotiomycetes sp. MPI-SDFR-AT-0126	23	2138324	Leotiomycetes sp. MPI-SDFR-AT-0126	3204	3190	14	14	16	3234	leotiomycetes_odb10	99	0	0.0	0	0	Unknown
UP000258309	Fungi	Ascomycota	Leotiomycetes	NA	NA	Scytalidium	Scytalidium lignicola	7	5539	Scytalidium lignicola (Hyphomycete)	3001	2983	18	60	173	3234	leotiomycetes_odb10	94	0	0.0	0	0	Unknown
UP000283489	Fungi	Ascomycota	Leotiomycetes	NA	NA	Scytalidium	Scytalidium sp. 3C	3	2487125	Scytalidium sp. 3C	1265	1264	1	242	1727	3234	leotiomycetes_odb10	46	0	0.0	0	0	Unknown
UP000011064	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus destructans	1	658429	Pseudogymnoascus destructans (strain ATCC MYA-4855 / 20631-21) (Bat white-nose syndrome fungus) (Geomyces destructans)	3157	3131	26	65	12	3234	leotiomycetes_odb10	99	0	0.0	0	0	Unknown
UP000092096	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. 05NY08	4	1622149	Pseudogymnoascus sp. 05NY08	3207	3129	78	13	14	3234	leotiomycetes_odb10	99	0	0.0	0	0	Unknown
UP000091879	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. 23342-1-I1	4	1524831	Pseudogymnoascus sp. 23342-1-I1	3209	3192	17	9	16	3234	leotiomycetes_odb10	99	0	0.0	0	0	Unknown
UP000092157	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. 24MN13	5	1622150	Pseudogymnoascus sp. 24MN13	2752	2748	4	169	313	3234	leotiomycetes_odb10	90	0	0.0	0	0	Unknown
UP000029320	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-3557	2	1437433	Pseudogymnoascus sp. VKM F-3557	2625	2617	8	165	444	3234	leotiomycetes_odb10	86	0	0.0	0	0	Unknown
UP000029338	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-3775	7	1420901	Pseudogymnoascus sp. VKM F-3775	1925	1915	10	355	954	3234	leotiomycetes_odb10	70	0	0.0	0	0	Unknown
UP000029329	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-3808	1	1391699	Pseudogymnoascus sp. VKM F-3808	2685	2677	8	164	385	3234	leotiomycetes_odb10	88	0	0.0	0	0	Unknown
UP000029299	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4246	3	1420902	Pseudogymnoascus sp. VKM F-4246	2692	2690	2	152	390	3234	leotiomycetes_odb10	87	0	0.0	0	0	Unknown
UP000029327	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4281 (FW-2241)	4	1420906	Pseudogymnoascus sp. VKM F-4281 (FW-2241)	2875	2870	5	143	216	3234	leotiomycetes_odb10	93	0	0.0	0	0	Unknown
UP000029288	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4513 (FW-928)	3	1420907	Pseudogymnoascus sp. VKM F-4513 (FW-928)	2815	2812	3	159	260	3234	leotiomycetes_odb10	91	0	0.0	0	0	Unknown
UP000029302	Fungi	Ascomycota	Leotiomycetes	NA	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4515 (FW-2607)	6	1420909	Pseudogymnoascus sp. VKM F-4515 (FW-2607)	2969	2964	5	106	159	3234	leotiomycetes_odb10	95	0	0.0	0	0	Unknown
