protein_acc	proteome_acc	species
A0A176WCM7	UP000077202	Marchantia polymorpha
A0A176WD67	UP000077202	Marchantia polymorpha
A0A176WEU2	UP000077202	Marchantia polymorpha
A0A176WFF6	UP000077202	Marchantia polymorpha
A0A176WFY1	UP000077202	Marchantia polymorpha
A0A176WGP9	UP000077202	Marchantia polymorpha
A0A176WHM5	UP000077202	Marchantia polymorpha
A0A176WHV9	UP000077202	Marchantia polymorpha
A0A176WHX1	UP000077202	Marchantia polymorpha
A0A176WIF4	UP000077202	Marchantia polymorpha
A0A176WJ99	UP000077202	Marchantia polymorpha
A0A176WJD7	UP000077202	Marchantia polymorpha
A0A176WJM8	UP000077202	Marchantia polymorpha
A0A176WL12	UP000077202	Marchantia polymorpha
A0A177BYL1	UP000077069	Paraphaeosphaeria sporulosa
A0A177BZU8	UP000077069	Paraphaeosphaeria sporulosa
A0A177C1E5	UP000077069	Paraphaeosphaeria sporulosa
A0A177C3Z0	UP000077069	Paraphaeosphaeria sporulosa
A0A177C4C2	UP000077069	Paraphaeosphaeria sporulosa
A0A177C8T4	UP000077069	Paraphaeosphaeria sporulosa
A0A177CAH2	UP000077069	Paraphaeosphaeria sporulosa
A0A177CCF1	UP000077069	Paraphaeosphaeria sporulosa
A0A177CCG2	UP000077069	Paraphaeosphaeria sporulosa
A0A177CDD2	UP000077069	Paraphaeosphaeria sporulosa
A0A177CDK5	UP000077069	Paraphaeosphaeria sporulosa
A0A177CJ83	UP000077069	Paraphaeosphaeria sporulosa
A0A177CKF0	UP000077069	Paraphaeosphaeria sporulosa
A0A177CM76	UP000077069	Paraphaeosphaeria sporulosa
A0A177CN05	UP000077069	Paraphaeosphaeria sporulosa
A0A177CNN5	UP000077069	Paraphaeosphaeria sporulosa
A0A177CUZ4	UP000077069	Paraphaeosphaeria sporulosa
A0A177CWI5	UP000077069	Paraphaeosphaeria sporulosa
A0A177CXR4	UP000077069	Paraphaeosphaeria sporulosa
A0A177CZG6	UP000077069	Paraphaeosphaeria sporulosa
A0A177D6G4	UP000077248	Alternaria alternata
A0A177D939	UP000077248	Alternaria alternata
A0A177D9T1	UP000077248	Alternaria alternata
A0A177DH89	UP000077248	Alternaria alternata
A0A177DH95	UP000077248	Alternaria alternata
A0A177DHU3	UP000077248	Alternaria alternata
A0A177DIL2	UP000077248	Alternaria alternata
A0A177DK85	UP000077248	Alternaria alternata
A0A177DM13	UP000077248	Alternaria alternata
A0A177DMT7	UP000077248	Alternaria alternata
A0A177DMZ0	UP000077248	Alternaria alternata
A0A177DP90	UP000077248	Alternaria alternata
A0A177DQF3	UP000077248	Alternaria alternata
A0A177DSJ1	UP000077248	Alternaria alternata
A0A177DTC8	UP000077248	Alternaria alternata
A0A177DXP3	UP000077248	Alternaria alternata
A0A177DYQ6	UP000077248	Alternaria alternata
A0A177E0Q1	UP000077248	Alternaria alternata
A0A177E1Y0	UP000077248	Alternaria alternata
A0A177E2B8	UP000077248	Alternaria alternata
A0A177E2Y1	UP000077248	Alternaria alternata
A0A177E398	UP000077248	Alternaria alternata
A0A177E3H5	UP000077248	Alternaria alternata
A0A177T6E5	UP000077521	Tilletia indica
A0A177T6I1	UP000077521	Tilletia indica
A0A177T775	UP000077521	Tilletia indica
A0A177TK21	UP000077521	Tilletia indica
A0A177TSF4	UP000077521	Tilletia indica
A0A177WCF2	UP000077115	Batrachochytrium dendrobatidis
A0A177WE35	UP000077115	Batrachochytrium dendrobatidis
A0A177WGV0	UP000077115	Batrachochytrium dendrobatidis
A0A177WID7	UP000077115	Batrachochytrium dendrobatidis
A0A177WIF3	UP000077115	Batrachochytrium dendrobatidis
A0A177WM68	UP000077115	Batrachochytrium dendrobatidis
A0A177WRA1	UP000077115	Batrachochytrium dendrobatidis
A0A177WRB0	UP000077115	Batrachochytrium dendrobatidis
A0A177WRB5	UP000077115	Batrachochytrium dendrobatidis
A0A177WTC8	UP000077115	Batrachochytrium dendrobatidis
A0A177WTK4	UP000077115	Batrachochytrium dendrobatidis
A0A177WVJ9	UP000077115	Batrachochytrium dendrobatidis
A0A177X0C6	UP000077115	Batrachochytrium dendrobatidis
A0A178A7C6	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178A7R1	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178A9X0	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178ACA7	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AES5	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AGA7	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AGW8	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AH92	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AHP3	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AJ55	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AK77	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AM67	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178ARL4	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178ARW0	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AS37	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AV25	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178AXF9	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178B137	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178B193	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178B1W6	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178B2T2	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178B4M5	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178B5G7	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178BAM4	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178BDU2	UP000077206	Stagonospora sp. SRC1lsM3a
A0A178DI49	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178DIP2	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178DJ79	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178DLC7	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178DP81	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178DRJ7	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178DRY1	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178DX35	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178E1D5	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178E330	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178E4K8	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178ECH3	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178ED77	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178EEM2	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178EET3	UP000077535	Pyrenochaeta sp. DS3sAY3a
A0A178EW52	UP000243015	Trichophyton rubrum
A0A178Z9S6	UP000078343	Fonsecaea erecta
A0A178ZLD8	UP000078343	Fonsecaea erecta
A0A178ZUW8	UP000078343	Fonsecaea erecta
A0A178ZXE3	UP000078343	Fonsecaea erecta
A0A179A145	UP000078343	Fonsecaea erecta
A0A179EWV4	UP000078397	Pochonia chlamydosporia
A0A179FL78	UP000078397	Pochonia chlamydosporia
A0A179G2Q4	UP000078397	Pochonia chlamydosporia
A0A179G9B5	UP000078397	Pochonia chlamydosporia
A0A179GFV1	UP000078340	Purpureocillium lilacinum
A0A179GTY0	UP000078340	Purpureocillium lilacinum
A0A179HK07	UP000078340	Purpureocillium lilacinum
A0A179HS62	UP000078340	Purpureocillium lilacinum
A0A179HU87	UP000078340	Purpureocillium lilacinum
A0A179I0M2	UP000078340	Purpureocillium lilacinum
A0A179I1K9	UP000243081	Akanthomyces lecanii
A0A179I3R8	UP000243081	Akanthomyces lecanii
A0A179IBT8	UP000243081	Akanthomyces lecanii
A0A179IC64	UP000243081	Akanthomyces lecanii
A0A179IG11	UP000243081	Akanthomyces lecanii
A0A179IMT0	UP000243081	Akanthomyces lecanii
A0A179UBU9	UP000002038	Blastomyces gilchristii
A0A179UBW7	UP000002038	Blastomyces gilchristii
A0A179UEZ2	UP000002038	Blastomyces gilchristii
A0A179UGG1	UP000002038	Blastomyces gilchristii
A0A179UIK7	UP000002038	Blastomyces gilchristii
A0A179UUW6	UP000002038	Blastomyces gilchristii
A0A182ECM7	UP000271087	Onchocerca ochengi
A0A182EHB0	UP000271087	Onchocerca ochengi
A0A182EW60	UP000271087	Onchocerca ochengi
A0A182EYW3	UP000271087	Onchocerca ochengi
A0A183B2C3	UP000272942	Echinostoma caproni
A0A183B7C7	UP000272942	Echinostoma caproni
A0A183BBY8	UP000272942	Echinostoma caproni
A0A183CU95	UP000271098	Gongylonema pulchrum
A0A183CYD4	UP000271098	Gongylonema pulchrum
A0A183CZ55	UP000271098	Gongylonema pulchrum
A0A183IH80	UP000270296	Soboliphyme baturini
A0A183IUA7	UP000270296	Soboliphyme baturini
A0A183IUG4	UP000270296	Soboliphyme baturini
A0A183IUG5	UP000270296	Soboliphyme baturini
A0A183IVI7	UP000270296	Soboliphyme baturini
A0A183IVQ9	UP000270296	Soboliphyme baturini
A0A183JE54	UP000279833	Schistosoma curassoni
A0A183JGS8	UP000279833	Schistosoma curassoni
A0A183LLU9	UP000277204	Schistosoma margrebowiei
A0A183M2R9	UP000277204	Schistosoma margrebowiei
A0A183PIV9	UP000269396	Schistosoma mattheei
A0A183PYW0	UP000269396	Schistosoma mattheei
A0A183TCN8	UP000275846	Schistocephalus solidus
A0A183TFI9	UP000275846	Schistocephalus solidus
A0A183VJP5	UP000280995	Trichobilharzia regenti
A0A183VKQ1	UP000280995	Trichobilharzia regenti
A0A183VMI2	UP000280995	Trichobilharzia regenti
A0A183W979	UP000280995	Trichobilharzia regenti
A0A191WEQ3	UP000078437	Agromyces aureus
A0A194UMR4	UP000078576	Valsa mali
A0A194V5Z8	UP000078576	Valsa mali
A0A194VAU2	UP000078576	Valsa mali
A0A194VBC9	UP000078576	Valsa mali
A0A194WSI0	UP000070700	Mollisia scopiformis
A0A194X1Z0	UP000070700	Mollisia scopiformis
A0A194X275	UP000070700	Mollisia scopiformis
A0A194X3G4	UP000070700	Mollisia scopiformis
A0A194X431	UP000070700	Mollisia scopiformis
A0A194X4J9	UP000070700	Mollisia scopiformis
A0A194X723	UP000070700	Mollisia scopiformis
A0A194XAS3	UP000070700	Mollisia scopiformis
A0A194XE82	UP000070700	Mollisia scopiformis
A0A194XG95	UP000070700	Mollisia scopiformis
A0A194XJ83	UP000070700	Mollisia scopiformis
A0A194XK23	UP000070700	Mollisia scopiformis
A0A194XMC7	UP000070700	Mollisia scopiformis
A0A194XN12	UP000070700	Mollisia scopiformis
A0A194XN78	UP000070700	Mollisia scopiformis
A0A194XPI4	UP000070700	Mollisia scopiformis
A0A194XSF1	UP000070700	Mollisia scopiformis
A0A197SSE1	UP000078470	Streptomyces sp. ERV7
A0A197SVJ7	UP000078470	Streptomyces sp. ERV7
A0A199VCW6	UP000092600	Ananas comosus
A0A199VDI5	UP000092600	Ananas comosus
A0A199VDJ0	UP000092600	Ananas comosus
A0A199VDT9	UP000092600	Ananas comosus
A0A199XNB6	UP000093807	Flavobacterium succinicans
A0A1A5NYG7	UP000093719	Streptomyces sp. H-KF8
A0A1A6H6L1	UP000092124	Neotoma lepida
A0A1A6I0A3	UP000092124	Neotoma lepida
A0A1A8V6I8	UP000694548	Nothobranchius furzeri
A0A1A9BU93	UP000198690	Streptomyces sp. DI166
A0A1A9BWX5	UP000198690	Streptomyces sp. DI166
A0A1A9IWB2	UP000078022	Streptomyces sp. SAT1
A0A1B1M2R3	UP000092598	Streptomyces lincolnensis
A0A1B1M9M2	UP000092598	Streptomyces lincolnensis
A0A1B1MJ07	UP000092598	Streptomyces lincolnensis
A0A1B6Q6C0	UP000000768	Sorghum bicolor
A0A1B7NAD1	UP000092154	Rhizopogon vinicolor
A0A1B7NKP3	UP000091918	Emergomyces africanus
A0A1B7NUR7	UP000091918	Emergomyces africanus
A0A1B7NXV0	UP000091918	Emergomyces africanus
A0A1B7NYA4	UP000091918	Emergomyces africanus
A0A1B7P2S2	UP000091918	Emergomyces africanus
A0A1B7P8D4	UP000091918	Emergomyces africanus
A0A1B7XQG6	UP000092177	Colletotrichum higginsianum
A0A1B7XRL3	UP000092177	Colletotrichum higginsianum
A0A1B7XS17	UP000092177	Colletotrichum higginsianum
A0A1B7XSC0	UP000092177	Colletotrichum higginsianum
A0A1B7XSW6	UP000092177	Colletotrichum higginsianum
A0A1B7XTQ0	UP000092177	Colletotrichum higginsianum
A0A1B7XU08	UP000092177	Colletotrichum higginsianum
A0A1B7Y3U5	UP000092177	Colletotrichum higginsianum
A0A1B7Y8K3	UP000092177	Colletotrichum higginsianum
A0A1B7Y997	UP000092177	Colletotrichum higginsianum
A0A1B7YD73	UP000092177	Colletotrichum higginsianum
A0A1B7YDE6	UP000092177	Colletotrichum higginsianum
A0A1B7YLJ3	UP000092177	Colletotrichum higginsianum
A0A1B7YPT4	UP000092177	Colletotrichum higginsianum
A0A1B7YR08	UP000092177	Colletotrichum higginsianum
A0A1B7YRL2	UP000092177	Colletotrichum higginsianum
A0A1B7YUH4	UP000092177	Colletotrichum higginsianum
A0A1B7YUH9	UP000092177	Colletotrichum higginsianum
A0A1B7YV68	UP000092177	Colletotrichum higginsianum
A0A1B8AGE8	UP000091967	Fusarium poae
A0A1B8AHN9	UP000091967	Fusarium poae
A0A1B8AIR2	UP000091967	Fusarium poae
A0A1B8AJ10	UP000091967	Fusarium poae
A0A1B8AJY6	UP000091967	Fusarium poae
A0A1B8AQ15	UP000091967	Fusarium poae
A0A1B8AR83	UP000091967	Fusarium poae
A0A1B8ARE9	UP000091967	Fusarium poae
A0A1B8AUM9	UP000091967	Fusarium poae
A0A1B8AV36	UP000091967	Fusarium poae
A0A1B8AVY5	UP000091967	Fusarium poae
A0A1B8AWE5	UP000091967	Fusarium poae
A0A1B8AX68	UP000091967	Fusarium poae
A0A1B8AZE2	UP000091967	Fusarium poae
A0A1B8B0A6	UP000091967	Fusarium poae
A0A1B8B5T4	UP000091967	Fusarium poae
A0A1B8CBH9	UP000091997	Pseudogymnoascus sp. WSF 3629
A0A1B8CC47	UP000091997	Pseudogymnoascus sp. WSF 3629
A0A1B8CCQ9	UP000091997	Pseudogymnoascus sp. WSF 3629
A0A1B8CGC7	UP000091997	Pseudogymnoascus sp. WSF 3629
A0A1B8CKY4	UP000091997	Pseudogymnoascus sp. WSF 3629
A0A1B8CNI1	UP000091997	Pseudogymnoascus sp. WSF 3629
A0A1B8CYJ0	UP000092157	Pseudogymnoascus sp. 24MN13
A0A1B8CYT1	UP000092157	Pseudogymnoascus sp. 24MN13
A0A1B8D8R5	UP000092157	Pseudogymnoascus sp. 24MN13
A0A1B8DBE1	UP000092157	Pseudogymnoascus sp. 24MN13
A0A1B8DEX6	UP000092157	Pseudogymnoascus sp. 24MN13
A0A1B8DQG0	UP000091879	Pseudogymnoascus sp. 23342-1-I1
A0A1B8DRV2	UP000091879	Pseudogymnoascus sp. 23342-1-I1
A0A1B8E0I4	UP000091879	Pseudogymnoascus sp. 23342-1-I1
A0A1B8E111	UP000091879	Pseudogymnoascus sp. 23342-1-I1
A0A1B8EWX5	UP000092096	Pseudogymnoascus sp. 05NY08
A0A1B8F390	UP000092096	Pseudogymnoascus sp. 05NY08
A0A1B8F925	UP000092096	Pseudogymnoascus sp. 05NY08
A0A1B8F9Y4	UP000092096	Pseudogymnoascus sp. 05NY08
A0A1B8G8M9	UP000091956	Pseudogymnoascus verrucosus
A0A1B8GPV7	UP000091956	Pseudogymnoascus verrucosus
A0A1B8GTG5	UP000091956	Pseudogymnoascus verrucosus
A0A1B9ELZ6	UP000093256	Streptomyces sp. PTY087I2
A0A1B9EXU6	UP000093256	Streptomyces sp. PTY087I2
A0A1C1CL76	UP000094526	Cladophialophora carrionii
A0A1C1CNE5	UP000094526	Cladophialophora carrionii
A0A1C1CNS0	UP000094526	Cladophialophora carrionii
A0A1C1CVI7	UP000094526	Cladophialophora carrionii
A0A1C3YLW6	UP000070720	Fusarium graminearum
A0A1C4ILI6	UP000198957	Streptomyces sp. TverLS-915
A0A1C4KL18	UP000199020	Streptomyces sp. DvalAA-14
A0A1C5DEK9	UP000198886	Streptomyces sp. MnatMP-M17
A0A1C7LM26	UP000092993	Grifola frondosa
A0A1C7LRX6	UP000092993	Grifola frondosa
A0A1C7LW21	UP000092993	Grifola frondosa
A0A1C7MJW4	UP000092993	Grifola frondosa
A0A1D2IK76	UP000054731	Streptomyces sp. AVP053U2
A0A1D6N9K8	UP000007305	Zea mays
A0A1D7VP15	UP000094094	Streptomyces lydicus
A0A1D8G415	UP000095349	Streptomyces rubrolavendulae
A0A1D8P699	UP000176050	Urechidicola croceus
A0A1D8TVF9	UP000177870	Moorena producens
A0A1E1JS04	UP000178129	Rhynchosporium commune
A0A1E1JXU9	UP000178129	Rhynchosporium commune
A0A1E1K118	UP000178129	Rhynchosporium commune
A0A1E1KMS7	UP000178129	Rhynchosporium commune
A0A1E1KQ70	UP000178129	Rhynchosporium commune
A0A1E1KRX9	UP000178129	Rhynchosporium commune
A0A1E1KSL0	UP000178129	Rhynchosporium commune
A0A1E1L5I7	UP000178129	Rhynchosporium commune
A0A1E1LAJ5	UP000178129	Rhynchosporium commune
A0A1E1LIA3	UP000178129	Rhynchosporium commune
A0A1E1LM99	UP000178129	Rhynchosporium commune
A0A1E1LN71	UP000178129	Rhynchosporium commune
A0A1E1LNK0	UP000178129	Rhynchosporium commune
A0A1E1LTR2	UP000178129	Rhynchosporium commune
A0A1E2VE74	UP000094291	Terasakiispira papahanaumokuakeensis
A0A1E3B9D8	UP000094569	Aspergillus cristatus
A0A1E3BEK7	UP000094569	Aspergillus cristatus
A0A1E3V4Z2	UP000094342	Ensifer alkalisoli
A0A1E5P225	UP000095759	Streptomyces agglomeratus
A0A1E5PJ66	UP000095759	Streptomyces agglomeratus
A0A1E5PZA3	UP000095705	Streptomyces subrutilus
A0A1E5PZI2	UP000095705	Streptomyces subrutilus
A0A1E5UM04	UP000095767	Dichanthelium oligosanthes
A0A1E5UXN7	UP000095767	Dichanthelium oligosanthes
A0A1E5UYD2	UP000095767	Dichanthelium oligosanthes
A0A1E5V3L3	UP000095767	Dichanthelium oligosanthes
A0A1E5VN09	UP000095767	Dichanthelium oligosanthes
A0A1E5WH95	UP000095767	Dichanthelium oligosanthes
A0A1E5WHX8	UP000095767	Dichanthelium oligosanthes
A0A1E5WJW0	UP000095767	Dichanthelium oligosanthes
A0A1E5WNI9	UP000095767	Dichanthelium oligosanthes
A0A1E7F8K2	UP000095751	Fragilariopsis cylindrus
A0A1E7FM11	UP000095751	Fragilariopsis cylindrus
A0A1E7FTK4	UP000095751	Fragilariopsis cylindrus
A0A1E7N234	UP000037395	Kitasatospora aureofaciens
A0A1E7N2E9	UP000037395	Kitasatospora aureofaciens
A0A1F5L4P2	UP000177622	Penicillium arizonense
A0A1F5L654	UP000177622	Penicillium arizonense
A0A1F5L929	UP000177622	Penicillium arizonense
A0A1F5LB03	UP000177622	Penicillium arizonense
A0A1F5LJ48	UP000177622	Penicillium arizonense
A0A1F5LRR5	UP000177622	Penicillium arizonense
A0A1F7ZLT4	UP000179179	Aspergillus bombycis
A0A1F7ZW72	UP000179179	Aspergillus bombycis
A0A1F7ZXX7	UP000179179	Aspergillus bombycis
A0A1F8A303	UP000179179	Aspergillus bombycis
A0A1F8A6I4	UP000179179	Aspergillus bombycis
A0A1F8A877	UP000179179	Aspergillus bombycis
A0A1F8AA02	UP000179179	Aspergillus bombycis
A0A1G4AMM3	UP000176998	Colletotrichum orchidophilum
A0A1G4ANR7	UP000176998	Colletotrichum orchidophilum
A0A1G4ATQ6	UP000176998	Colletotrichum orchidophilum
A0A1G4ATZ7	UP000176998	Colletotrichum orchidophilum
A0A1G4AW68	UP000176998	Colletotrichum orchidophilum
A0A1G4AYJ9	UP000176998	Colletotrichum orchidophilum
A0A1G4AYX7	UP000176998	Colletotrichum orchidophilum
A0A1G4B5I6	UP000176998	Colletotrichum orchidophilum
A0A1G4B685	UP000176998	Colletotrichum orchidophilum
A0A1G4BFW7	UP000176998	Colletotrichum orchidophilum
A0A1G4BKS1	UP000176998	Colletotrichum orchidophilum
A0A1G4BL74	UP000176998	Colletotrichum orchidophilum
A0A1G4BLJ1	UP000176998	Colletotrichum orchidophilum
A0A1G4BMT9	UP000176998	Colletotrichum orchidophilum
A0A1G4BS67	UP000176998	Colletotrichum orchidophilum
A0A1G4XYP9	UP000198764	Nitrosospira sp. Nsp1
A0A1G4YDZ6	UP000198764	Nitrosospira sp. Nsp1
A0A1G4Z5B1	UP000198764	Nitrosospira sp. Nsp1
A0A1G4Z696	UP000198764	Nitrosospira sp. Nsp1
A0A1G4ZB42	UP000198764	Nitrosospira sp. Nsp1
A0A1G5D9M3	UP000198645	Nitrosospira sp. Nl5
A0A1G5IY95	UP000198645	Nitrosospira sp. Nl5
A0A1G5SEQ3	UP000198729	Nitrosomonas mobilis
A0A1G6US90	UP000198781	Acidovorax valerianellae
A0A1G6VNA4	UP000199417	Rhodococcus tukisamuensis
A0A1G7EV08	UP000199109	Pricia antarctica
A0A1G7EVK2	UP000199109	Pricia antarctica
A0A1G7JAM5	UP000199109	Pricia antarctica
A0A1G7L190	UP000198994	Salipiger thiooxidans
A0A1G8B6K0	UP000198923	Sinosporangium album
A0A1G9LQ44	UP000198654	Halomonas muralis
A0A1G9MEV9	UP000198901	Siphonobacter aquaeclarae
A0A1G9XZA0	UP000199341	Streptomyces guanduensis
A0A1H0A5D2	UP000199063	Streptomyces wuyuanensis
A0A1H0BBM5	UP000198720	Streptomyces sp. cf386
A0A1H0C516	UP000199063	Streptomyces wuyuanensis
A0A1H0J8P1	UP000198720	Streptomyces sp. cf386
A0A1H1H9Q0	UP000199484	Rhizobiales bacterium GAS113
A0A1H1Q0J6	UP000199092	Friedmanniella luteola
A0A1H1RF99	UP000199458	Formosa sp. Hel1_31_208
A0A1H1X1U7	UP000199524	Pseudomonas asplenii
A0A1H1YK07	UP000198688	Actinoplanes derwentensis
A0A1H3I5E5	UP000199646	Nitrosomonas sp. Nm58
A0A1H3PKM2	UP000198640	Nitrosomonas halophila
A0A1H4LVJ9	UP000199275	Streptomyces sp. PAN_FS17
A0A1H4T326	UP000199275	Streptomyces sp. PAN_FS17
A0A1H4YB07	UP000199366	Tenacibaculum sp. MAR_2009_124
A0A1H5BTA1	UP000198754	Streptomyces sp. 3213.3
A0A1H5DHC4	UP000198812	Streptomyces sp. Ag109_O5-10
A0A1H5KZE4	UP000198812	Streptomyces sp. Ag109_O5-10
A0A1H5NW86	UP000198812	Streptomyces sp. Ag109_O5-10
A0A1H6AG70	UP000236754	Streptomyces yanglinensis
A0A1H6UN47	UP000199420	Frateuria terrea
A0A1H6UVC1	UP000199420	Frateuria terrea
A0A1H6YXJ5	UP000199420	Frateuria terrea
A0A1H7K5B5	UP000198620	Nitrosovibrio tenuis
A0A1H7L321	UP000198521	Aquimarina amphilecti
A0A1H7NHR1	UP000198620	Nitrosovibrio tenuis
A0A1H7NPW0	UP000198620	Nitrosovibrio tenuis
A0A1H7Q7S9	UP000198677	Rhodococcus maanshanensis
A0A1H7VPR3	UP000198677	Rhodococcus maanshanensis
A0A1H8TPG2	UP000181951	Streptomyces rubidus
A0A1H9LUD0	UP000198732	Nitrosomonas sp. Nm51
A0A1H9LUS8	UP000198732	Nitrosomonas sp. Nm51
A0A1H9NRP2	UP000199142	Sphingobium sp. YR768
A0A1H9RC52	UP000198732	Nitrosomonas sp. Nm51
A0A1H9SJB2	UP000198568	Streptomyces sp. yr375
A0A1H9XKQ7	UP000198568	Streptomyces sp. yr375
A0A1I1ZK43	UP000199323	Streptomyces alni
A0A1I2GNX2	UP000199645	Actinoplanes philippinensis
A0A1I2YCN1	UP000198772	Nitrosospira sp. Nsp14
A0A1I3AVF1	UP000198772	Nitrosospira sp. Nsp14
A0A1I3WXE9	UP000199533	Nitrosomonas aestuarii
A0A1I4G6L8	UP000199533	Nitrosomonas aestuarii
A0A1I4S2G6	UP000199561	Nitrosomonas nitrosa
A0A1I4UPB2	UP000199561	Nitrosomonas nitrosa
A0A1I4XEP0	UP000183107	Nitrosospira briensis
A0A1I4XKW7	UP000198575	Dokdonella immobilis
A0A1I4YET0	UP000183107	Nitrosospira briensis
A0A1I4YPR0	UP000183107	Nitrosospira briensis
A0A1I5DX13	UP000183107	Nitrosospira briensis
A0A1I5JP11	UP000198857	Geodermatophilus dictyosporus
A0A1I5PK02	UP000199306	Pseudarcicella hirudinis
A0A1I5T2G9	UP000198857	Geodermatophilus dictyosporus
A0A1I5Y7A8	UP000199306	Pseudarcicella hirudinis
A0A1I6M5T1	UP000199024	Granulicella pectinivorans
A0A1I6MGF1	UP000199422	Microbacterium sp. cf046
A0A1I7RJ20	UP000659654	Bursaphelenchus xylophilus
A0A1I7RJ76	UP000659654	Bursaphelenchus xylophilus
A0A1I7RVW2	UP000659654	Bursaphelenchus xylophilus
A0A1I7RZ64	UP000659654	Bursaphelenchus xylophilus
A0A1I7S4X7	UP000659654	Bursaphelenchus xylophilus
A0A1I7S817	UP000659654	Bursaphelenchus xylophilus
A0A1I7VBE5	UP000095285	Loa loa
A0A1I7VE53	UP000095285	Loa loa
A0A1I7VEA5	UP000095285	Loa loa
A0A1I7VGZ2	UP000095285	Loa loa
A0A1I7VUI1	UP000095285	Loa loa
A0A1I8GLN0	UP000215902	Macrostomum lignano
A0A1I8J0F5	UP000215902	Macrostomum lignano
A0A1J4NW81	UP000034196	Streptomyces mangrovisoli
A0A1J4P798	UP000034196	Streptomyces mangrovisoli
A0A1J4PWI9	UP000034838	Streptomyces malaysiense
A0A1J6IKE9	UP000187609	Nicotiana attenuata
A0A1J6IR06	UP000187609	Nicotiana attenuata
A0A1J6JLI9	UP000187609	Nicotiana attenuata
A0A1J6JNC7	UP000187609	Nicotiana attenuata
A0A1J6KGZ9	UP000187609	Nicotiana attenuata
A0A1J7H1D4	UP000188354	Lupinus angustifolius
A0A1J7I5P1	UP000182658	Coniochaeta ligniaria
A0A1J7INL6	UP000182658	Coniochaeta ligniaria
A0A1J7IS49	UP000182658	Coniochaeta ligniaria
A0A1J7ITX6	UP000182658	Coniochaeta ligniaria
A0A1J7J0G6	UP000182658	Coniochaeta ligniaria
A0A1J7J6R4	UP000182658	Coniochaeta ligniaria
A0A1J7JCM8	UP000182658	Coniochaeta ligniaria
A0A1J7JH22	UP000182658	Coniochaeta ligniaria
A0A1J7JKX2	UP000182658	Coniochaeta ligniaria
A0A1J7JNG9	UP000182658	Coniochaeta ligniaria
A0A1J7JYB7	UP000182658	Coniochaeta ligniaria
A0A1J7K205	UP000182658	Coniochaeta ligniaria
A0A1J7K3Z8	UP000182658	Coniochaeta ligniaria
A0A1J8R671	UP000183567	Rhizopogon vesiculosus
A0A1J9P452	UP000182235	Emergomyces pasteurianus
A0A1J9P4E5	UP000182235	Emergomyces pasteurianus
A0A1J9PZZ1	UP000182235	Emergomyces pasteurianus
A0A1J9Q075	UP000242791	Blastomyces percursus
A0A1J9Q3N9	UP000182235	Emergomyces pasteurianus
A0A1J9QCR0	UP000242791	Blastomyces percursus
A0A1J9QCX9	UP000182235	Emergomyces pasteurianus
A0A1J9QHL9	UP000242791	Blastomyces percursus
A0A1J9QI72	UP000242791	Blastomyces percursus
A0A1J9QJX4	UP000183809	Diplodia corticola
A0A1J9QK96	UP000242791	Blastomyces percursus
A0A1J9QQD4	UP000183809	Diplodia corticola
A0A1J9QRZ6	UP000182235	Emergomyces pasteurianus
A0A1J9QXP9	UP000183809	Diplodia corticola
