DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	species
COLOR	#ff0000
DATA
CDM37049.1	#90caab	Penicillium roqueforti
WP_189700712.1	#f05a16	Streptomyces chromofuscus
XP_012286307.1	#aec8f1	Orussus abietinus
KAF1937117.1	#6962e2	Clathrospora elynae
KAF6823577.1	#d25608	Colletotrichum musicola
WP_236412913.1	#e235dd	Pseudomonas syringae
XP_001960131.2	#351646	Drosophila ananassae
KKY15415.1	#51bcc6	Diplodia seriata
KAF7357228.1	#40cbd6	Mycena sanguinolenta
KAH3722178.1	#4a03f2	Dreissena polymorpha
KAI3658124.1	#23d513	Amoeboaphelidium occidentale
KAF7746887.1	#56cb3e	Entomophthora muscae
AAQ03083.1	#299f5b	Sepia officinalis
KAH8712680.1	#094534	Beauveria bassiana
Q9NFH9.3	#8294ce	Aphonopelma sp.
XP_030982083.1	#f8add9	Pyricularia grisea
CCA94924.1	#da8947	Mastigoproctus giganteus
RPB03291.1	#16550f	Choiromyces venosus
KUI61173.1	#adf9c7	Valsa mali
XP_048780969.1	#d83527	Ostrea edulis
KAF2641664.1	#ff3fb5	Massarina eburnea
KAF4200387.1	#11ea56	Aspergillus lentulus
RMX36716.1	#1f0907	Pocillopora damicornis
ALJ53304.1	#08f20d	Luffa aegyptiaca
XP_016756348.1	#adca9d	Sphaerulina musiva
OCK72918.1	#dc4b33	Lepidopterella palustris
EPS41585.1	#ae7320	Dactylellina haptotyla
CAG8442723.1	#86e6b3	Claroideoglomus candidum
KAI3838540.1	#9c4842	Papaver bracteatum
CCA94914.1	#4ffc5c	Limulus polyphemus
KAI3809646.1	#d97395	Smallanthus sonchifolius
RDX72446.1	#040a9b	Mucuna pruriens
KAH8724982.1	#43f0bb	Phaeosphaeriaceae sp. PMI808
VDI16354.1	#380da1	Mytilus galloprovincialis
KAI4221139.1	#b01208	Xanthoria aureola
KAG9026427.1	#4be163	Tulasnella sp. JGI-2019a
KAH7182157.1	#a28206	Fusarium sp. MPI-SDFR-AT-0072
QDA03554.1	#7f3b70	Streptomyces rimosus
KAG0485273.1	#a550fe	Vanilla planifolia
KAF2680037.1	#f17375	Lentithecium fluviatile
XP_046384805.1	#9afc82	Ischnura elegans
OQE43496.1	#2f8d18	Penicillium coprophilum
KAH8886663.1	#7e34fd	Thozetella sp. PMI_491
KAF9044148.1	#aec3fa	Panaeolus papilionaceus
OWF40759.1	#a02ab2	Mizuhopecten yessoensis
CAH0045811.1	#afe815	Clonostachys solani
XP_045606903.1	#86438e	Procambarus clarkii
XP_026564139.1	#1fada9	Pseudonaja textilis
XP_015605372.1	#9841e6	Cephus cinctus
XP_043267398.1	#44d8a9	Venturia canescens
XP_013266290.1	#150fb0	Exophiala aquamarina
RYP84213.1	#b4620e	Monosporascus sp. CRB-8-3
KAI2487008.1	#74797e	Pyrenophora tritici-repentis
KAI0123286.1	#e2fa42	Xylariales sp. AK1849
XP_048382331.1	#1344db	Stegostoma fasciatum
KAF7759225.1	#56cb3e	Entomophthora muscae
KAE9591752.1	#bdafe3	Lupinus albus
PPD85466.1	#4e641e	Gossypium barbadense
KAI5633122.1	#e737d8	Phthorimaea operculella
XP_033650325.1	#65a0c9	Westerdykella ornata
XP_028486278.1	#44c319	Paecilomyces variotii
EPS59410.1	#61c455	Genlisea aurea
CAG7731908.1	#9e1760	Allacma fusca
KAF3904429.1	#dcc89b	Drechslerella brochopaga
KAF3011878.1	#c2f4c4	Neopestalotiopsis sp. 37M
KXX77605.1	#342ec7	Madurella mycetomatis
KAG8727093.1	#5d198e	Ceratobasidium sp. 423
XP_034313327.1	#bdff2c	Crassostrea gigas
OSX76856.1	#b9b4c7	Porphyra umbilicalis
CAG8480240.1	#86e6b3	Claroideoglomus candidum
XP_046853721.1	#f00ce9	Xenia sp. Carnegie-2017
TGZ76212.1	#e713aa	Ascodesmis nigricans
MBA2448880.1	#c4686a	Chloroflexi bacterium
AFP81887.1	#bd8ab6	Bactrocera dorsalis
GBG84233.1	#59b385	Chara braunii
WP_018348413.1	#83cfe2	Longispora albida
XP_049534858.1	#a1db39	Anopheles darlingi
KAH7390053.1	#a4eae7	Leotiomycetes sp. MPI-SDFR-AT-0126
KAE8158927.1	#590477	Aspergillus tamarii
AAG00991.1	#634d16	Armigeres subalbatus
PSN60886.1	#d768dc	Corynespora cassiicola
RDW57779.1	#82233c	Coleophoma crateriformis
OAE28668.1	#a6ad27	Marchantia polymorpha
CZT01018.1	#ab384e	Rhynchosporium commune
USP77856.1	#8addde	Curvularia clavata
WP_256670161.1	#3bd7a5	Pseudomonas sp. CFSAN084952
XP_045801049.1	#3eb236	Trifolium pratense
GFY91847.1	#764be0	Actinidia rufa
AUO15583.1	#d2293b	Xya japonica
XP_027157039.1	#c664ff	Coffea eugenioides
WP_219826018.1	#55daf5	Nonomuraea typhae
KAF8851362.1	#e43867	Acephala macrosclerotiorum
PQE04556.1	#8c432e	Rutstroemia sp. NJR-2017a BVV2
KAH7085663.1	#21c33a	Paraphoma chrysanthemicola
XP_040696788.1	#3908c1	Aspergillus sydowii
KAI3914265.1	#72e3a3	Papaver atlanticum
KAF9002918.1	#2ed9e8	Cyathus striatus
KAI3450392.1	#2bf880	Paulownia fortunei
XP_013140924.1	#08bd7c	Papilio polytes
CAH6624246.1	#3d473e	nan
OCH91906.1	#799fdf	Obba rivulosa
Q95P07.1	#0eb6cf	Scutigera coleoptrata
KAI5782554.1	#7f7d6a	Geopyxis carbonaria
KXX80403.1	#342ec7	Madurella mycetomatis
ORY16117.1	#080773	Clohesyomyces aquaticus
WP_085921990.1	#43c087	Nitrosospira lacus
AWK28015.1	#261fc1	Terebellides stroemii
KAG8386961.1	#2066c4	Buddleja alternifolia
KIH62610.1	#3751ae	Ancylostoma duodenale
RHZ77111.1	#8d0699	Diversispora epigaea
KAI3353779.1	#0737d8	Scortum barcoo
XP_009170910.1	#2c6380	Opisthorchis viverrini
KAG7164723.1	#94f39d	Homarus americanus
KAG8490239.1	#17e1ae	Gossypium anomalum
MCE7916428.1	#f52160	Nitrosomonas sp. PRO5
XP_045191498.1	#12b847	Mercenaria mercenaria
CAG7818442.1	#9e1760	Allacma fusca
KAF3004473.1	#c2f4c4	Neopestalotiopsis sp. 37M
OVA07051.1	#02c72b	Macleaya cordata
XP_019875169.1	#04bd5a	Aethina tumida
WP_073749609.1	#e1b3d9	Streptomyces sp. CB02058
KAI0007165.1	#8acfac	Xylariaceae sp. FL0662B
MBX9589076.1	#f686f8	Hyphomonadaceae bacterium
XP_013093449.1	#4a34ec	Biomphalaria glabrata
KAF4511633.1	#e50c51	Ophiocordyceps sinensis
GAQ10037.1	#11ea56	Aspergillus lentulus
KAG9199920.1	#82d663	Epicoccum nigrum
KAI3845515.1	#942eea	Papaver armeniacum
AGR40405.1	#4c2cbd	Occasjapyx japonicus
KYP64362.1	#3d6aff	Cajanus cajan
KAI5778036.1	#7f7d6a	Geopyxis carbonaria
XP_003855468.1	#1c1bcd	Zymoseptoria tritici
KAE9968852.1	#4a537f	Venturia inaequalis
KAG8748990.1	#ffbbd8	Serendipita sp. 396
XP_021902258.1	#ab64c7	Carica papaya
WP_205820844.1	#2d683e	Methylobacterium nonmethylotrophicum
KAF8737922.1	#2aa983	Amanita brunnescens
KAF7716819.1	#874f0c	Penicillium sp. RFL-2021a
KAF3023597.1	#c2f4c4	Neopestalotiopsis sp. 37M
KAI1338963.1	#0a2b88	Xylariaceae sp. FL0016
EIF92164.1	#3c277a	Streptomyces tsukubensis
PWZ45673.1	#1f77ef	Zea mays
OEL36750.1	#7407ae	Dichanthelium oligosanthes
XP_016760496.1	#adca9d	Sphaerulina musiva
XP_031873206.1	#b86dbf	Venustampulla echinocandica
XP_018074665.1	#e3a4b9	Mollisia scopiformis
KAI1263886.1	#2d2d79	Xylariaceae sp. FL1019
XP_034232983.1	#0ddd02	Thrips palmi
KAH8822354.1	#ef2990	Flagelloscypha sp. PMI_526
PVH73894.1	#6e3a04	Cadophora sp. DSE1049
KKY34132.1	#a354c3	Diaporthe ampelina
KAH7314625.1	#749adb	Ceratopteris richardii
XP_017759463.1	#719b38	Eufriesea mexicana
XP_049126283.1	#2671e3	Colletotrichum spaethianum
KND89565.1	#4816d8	Tolypocladium ophioglossoides
KAI4296683.1	#2e9a45	Bauhinia variegata
XP_033390318.1	#8b938b	Aaosphaeria arxii
KAH6676359.1	#6eb565	Halenospora varia
WP_224368046.1	#121e0f	Hyalangium sp. H56D21
CAD7407112.1	#560bd7	Timema cristinae
BAN20821.1	#14aed9	Riptortus pedestris
XP_044657696.1	#66f4f1	Cercospora kikuchii
ABG23096.1	#2e8606	Oryza rufipogon
PKS05007.1	#670a99	Lomentospora prolificans
KAH9969747.1	#79e3d9	Russula dissimulans
PQE12584.1	#557504	Rutstroemia sp. NJR-2017a BBW
XP_014212554.1	#0b6e93	Copidosoma floridanum
CAG8938113.1	#f12622	Penicillium salamii
KAH7839089.1	#e27e04	Vaccinium darrowii
XP_033394058.1	#7bec81	Aplosporella prunicola
XP_016554362.2	#58945d	Capsicum annuum
MBV1881911.1	#01c217	Pseudomonadales bacterium
KAF5204160.1	#b14ab3	Thalictrum thalictroides
XP_046114480.1	#bf563c	Emericellopsis atlantica
OOF98338.1	#437c9c	Aspergillus carbonarius
WP_212293187.1	#aa89ea	Bradyrhizobium sp. AUGA SZCCT0160
CAD7592475.1	#81c0e5	Timema genevievae
CAF9926552.1	#576238	Alectoria fallacina
PPJ53114.1	#61392c	Cercospora berteroae
RAR08977.1	#5a3757	Stemphylium lycopersici
TVY13885.1	#f5cf12	Lachnellula arida
XP_026272742.1	#c668a4	Frankliniella occidentalis
WP_190756671.1	#638ddd	Nostoc sp. FACHB-145
PKS12625.1	#670a99	Lomentospora prolificans
XP_007678611.1	#16b579	Baudoinia panamericana
XP_025457803.1	#86fb33	Aspergillus niger
PQE24042.1	#8c432e	Rutstroemia sp. NJR-2017a BVV2
KAI0357534.1	#b87b5c	Trametes cingulata
XP_040689821.1	#d06d3f	Aspergillus wentii
EPS37967.1	#ae7320	Dactylellina haptotyla
CRK10088.1	#a6579e	Verticillium longisporum
MBV8440909.1	#1db348	Hyphomicrobiales bacterium
KAG9137560.1	#5e2adc	Lithospermum erythrorhizon
EDW56881.1	#adc3da	Drosophila sechellia
CDN40927.1	#ba96a7	Euphilomedes morini
KAH1055311.1	#05e818	Gossypium stocksii
KAG6013142.1	#79075d	Claviceps citrina
KAH8601176.1	#7a544b	Bisporella sp. PMI_857
XP_033662795.1	#565915	Zasmidium cellare
WP_110355999.1	#7e5344	Arenibacter sp. ARW7G5Y1
KAG0522829.1	#5b1ccd	Sorghum bicolor
XP_045963576.1	#a0bd97	Truncatella angustata
CAF9929908.1	#801840	Gomphillus americanus
MBX2870036.1	#522ace	Acidiferrobacterales bacterium
KFY75915.1	#2bcf56	Pseudogymnoascus sp. VKM F-103
MCG6869216.1	#c0625f	Gammaproteobacteria bacterium
XP_043275465.1	#44d8a9	Venturia canescens
KAF2218100.1	#a3c806	Cercospora zeae-maydis
TVU34985.1	#6eb074	Eragrostis curvula
ODM94868.1	#c58a90	Orchesella cincta
ERS98528.1	#304001	Sporothrix schenckii
KMQ88521.1	#4fcf46	Lasius niger
PKA53518.1	#814b4e	Apostasia shenzhenica
PIA19190.1	#b8cd79	Coemansia reversa
ATY66699.1	#3dc9d6	Cordyceps militaris
EPB75541.1	#db9b1f	Ancylostoma ceylanicum
KAG8177966.1	#fde872	Oedothorax gibbosus
KAG0150690.1	#9987f0	Cronartium quercuum
OAE29378.1	#a6ad27	Marchantia polymorpha
XP_014168694.1	#290ac4	Grosmannia clavigera
XP_049167932.1	#c1ab78	Wardomyces moseri
XP_038790188.1	#6adaae	Alternaria burnsii
WP_189181463.1	#38e664	Microbispora rosea
MCJ1382861.1	#307392	Xylographa soralifera
XP_025439029.1	#5ff5ec	Aspergillus brunneoviolaceus
KAG8791498.1	#b1dd9c	Ceratobasidium sp. 428
KAF8243417.1	#6b6fd0	Wilcoxina mikolae
XP_047767728.1	#5adc33	Fulvia fulva
APO14262.1	#08f20d	Luffa aegyptiaca
KAF9592632.1	#93df17	Coptis chinensis
KAF7742425.1	#56cb3e	Entomophthora muscae
KAF2733977.1	#baa9ae	Polyplosphaeria fusca
KAF2745875.1	#44da67	Sporormia fimetaria
WP_189560328.1	#0422f0	Streptomyces pilosus
XP_037027574.1	#d35521	Bradysia coprophila
KAI0482999.1	#fee6d6	Xylariaceae sp. FL0804
WP_071900099.1	#ce103d	Cystobacter ferrugineus
CEJ61814.1	#d3d87a	Penicillium brasilianum
XP_011082856.1	#0fe155	Sesamum indicum
KAG2574868.1	#5e9fd0	Panicum virgatum
KAI2000056.1	#27b241	Ophidiomyces ophidiicola
XP_007928457.1	#47572a	Pseudocercospora fijiensis
KAB2578807.1	#5edce0	Lasiodiplodia theobromae
WP_020674092.1	#f7c937	Amycolatopsis nigrescens
KAG5659614.1	#ddbd25	Fusarium avenaceum
XP_039953601.1	#7a1e91	Bactrocera tryoni
VDN51517.1	#747f67	Dracunculus medinensis
KAB5590038.1	#3fa14b	Ceratobasidium theobromae
KAI0322397.1	#001af4	Amylostereum chailletii
MCC2627838.1	#a3bf46	Thermomicrobiales bacterium
TKA34355.1	#1342ad	Salinomyces thailandica
XP_046990319.1	#d266b0	Schistocerca americana
XP_041550003.1	#5c7142	Aspergillus puulaauensis
KAI1335928.1	#0a2b88	Xylariaceae sp. FL0016
KAH9905172.1	#cf34b9	Xylariomycetidae sp. FL2044
XP_013113515.1	#e6d9e6	Stomoxys calcitrans
XP_018075688.1	#e3a4b9	Mollisia scopiformis
KAI0146663.1	#061ff2	Pestalotiopsis sp. NC0098
KAF3009595.1	#134f2c	Curvularia kusanoi
KAE9984929.1	#4a537f	Venturia inaequalis
KAG5592191.1	#4bac23	Solanum commersonii
XP_013238212.1	#520eda	Mitosporidium daphniae
KAH7311503.1	#a6a09d	Stachybotrys elegans
KAF9891641.1	#eea23d	Aspergillus nanangensis
KAH8169994.1	#c3af27	Sarocladium implicatum
XP_046559331.1	#59fb70	Haliotis rubra
WP_190669445.1	#b7aebc	Microcoleus sp. FACHB-672
KAF5277006.1	#d7d31c	Abscondita terminalis
AFR79056.1	#d82d54	Anopheles sinensis
KAH6617711.1	#6ece23	Chaetomium sp. MPI-SDFR-AT-0129
KAI0391311.1	#59bd51	Xylariaceae sp. FL0594
KAH9242279.1	#ac8821	Colletotrichum gloeosporioides
KAI0747371.1	#f330e0	Fomes fomentarius
CAG8788505.1	#fdeb42	Racocetra persica
XP_021956945.1	#abc98f	Folsomia candida
P80960.2	#332f1d	Rapana venosa
KAH7066127.1	#21c33a	Paraphoma chrysanthemicola
XP_010628968.1	#50cc51	Fukomys damarensis
XP_025696440.1	#cf5140	Arachis hypogaea
XP_044141740.1	#ada4ef	Bufo gargarizans
KAI0206828.1	#0ae37d	Astrocystis sublimbata
GJC89633.1	#26aef7	Colletotrichum liriopes
KAF3916223.1	#1d6e9a	Arthrobotrys entomopaga
XP_013104416.1	#e6d9e6	Stomoxys calcitrans
MCO5556760.1	#bcd5f7	Adiantum nelumboides
XP_046627797.1	#3d473e	nan
KAI1620459.1	#1ae2d2	Exophiala sp. JF 03-3F
CAB4290165.1	#0c3eb5	Prunus armeniaca
MCO5596682.1	#bcd5f7	Adiantum nelumboides
RPA84604.1	#b9a0dc	Ascobolus immersus
CAG9826092.1	#c32ec0	Diabrotica balteata
KAH1217340.1	#b9e0fe	Glycine max
KAA8631412.1	#11f798	Sordaria macrospora
CDN40919.1	#a5d602	Cypridininae sp. JM-2014
RXH99231.1	#accfe6	Malus domestica
PKY57931.1	#afb97a	Rhizophagus irregularis
KAH7653587.1	#bb2d66	Dioscorea alata
KAH8588626.1	#7a544b	Bisporella sp. PMI_857
XP_028405999.1	#c7c10e	Dendronephthya gigantea
CAA7404091.1	#359428	Spirodela intermedia
KAF2090081.1	#996501	Saccharata proteae
KAF0511998.1	#7fb1ab	Gigaspora margarita
KAH6824118.1	#f47900	Perilla frutescens
XP_016642381.1	#dcf585	Scedosporium apiospermum
OBS73934.1	#a55839	Neotoma lepida
KAF9612209.1	#93df17	Coptis chinensis
XP_035288045.1	#2ebdf5	Anguilla anguilla
XP_008080551.1	#df2e21	Glarea lozoyensis
KAF8786002.1	#25eb85	Argiope bruennichi
XP_028503538.1	#d96d92	Alternaria arborescens
KAG8037449.1	#3bad4a	Cotesia typhae
TDZ35829.1	#c74259	Colletotrichum spinosum
XP_033106998.1	#94cbf4	Anneissia japonica
MBX2914544.1	#6d10e6	Cyclobacteriaceae bacterium
MBA3294133.1	#2acca0	Geodermatophilaceae bacterium
KAG7207431.1	#b99470	Ampulex compressa
XP_018915716.1	#27c2aa	Bemisia tabaci
KAF6153804.1	#28f62f	Kingdonia uniflora
QRV80543.1	#490b49	Ceratobasidium sp. AG-Ba
XP_020628311.1	#be8ba7	Orbicella faveolata
XP_039114271.1	#820202	Dioscorea cayenensis
RCV19452.1	#5d0d2c	Setaria italica
KAI5805056.1	#7f7d6a	Geopyxis carbonaria
PTQ30672.1	#a6ad27	Marchantia polymorpha
KAF4630174.1	#3b19ed	Cudoniella acicularis
KAI4122123.1	#05f7ef	Usnochroma carphineum
KAH8178615.1	#c3af27	Sarocladium implicatum
XP_033427774.1	#bbc4f9	Aspergillus tanneri
XP_037926616.1	#56b13c	Hermetia illucens
VDN55943.1	#747f67	Dracunculus medinensis
KAB8259679.1	#60139b	Aspergillus pseudonomiae
NMD45197.1	#02561a	Propionibacterium sp.
KXT01151.1	#cfb99a	Pseudocercospora eumusae
WP_008991843.1	#e853ec	Galbibacter marinus
XP_020601040.1	#be8ba7	Orbicella faveolata
XP_032878346.1	#b2fd41	Amblyraja radiata
KAF2837670.1	#2bbc2c	Patellaria atrata
XP_001220655.1	#ddd6c9	Chaetomium globosum
OAL00545.1	#aad1af	Stagonospora sp. SRC1lsM3a
KAH6837452.1	#f47900	Perilla frutescens
RKP09558.1	#0cfead	Thamnocephalis sphaerospora
MBO1764714.1	#254eff	Escherichia coli
KAH0429785.1	#e80367	Colletotrichum camelliae
AAK29782.1	#bd2ddf	Ananas comosus
WP_142215334.1	#31261b	Streptomyces sp. SLBN-118
PVI03373.1	#dea7f6	Periconia macrospinosa
KJA30004.1	#6bd95b	Hypholoma sublateritium
ORY10740.1	#080773	Clohesyomyces aquaticus
RHZ77131.1	#8d0699	Diversispora epigaea
XP_047845299.1	#34689e	Purpureocillium takamizusanense
XP_033661185.1	#565915	Zasmidium cellare
KAF8568900.1	#1c25c4	Paragonimus westermani
XP_045958062.1	#a0bd97	Truncatella angustata
VDI68496.1	#380da1	Mytilus galloprovincialis
CAG7854384.1	#685b00	Serendipita indica
XP_019895575.1	#29e2f8	Musca domestica
XP_033399687.1	#7bec81	Aplosporella prunicola
XP_027239061.1	#98715c	Penaeus vannamei
KAF1355754.1	#09d49e	Lizonia empirigonia
KAG8043552.1	#4d8d26	Zizania palustris
XP_031619617.1	#ba95e0	Contarinia nasturtii
KPP72990.1	#22e7b8	Scleropages formosus
KXN67860.1	#2fd49b	Conidiobolus coronatus
XP_040693315.1	#d06d3f	Aspergillus wentii
XP_008809956.2	#3bbc3c	Phoenix dactylifera
XP_030987221.1	#f8add9	Pyricularia grisea
XP_043621955.1	#5c67fc	Erigeron canadensis
KAH8388447.1	#625246	Drosophila rubida
KAH9495729.1	#c07b6a	Bulinus truncatus
MBX3324567.1	#597e2c	Nitrospira sp.
KXN81457.1	#a114d8	Leucoagaricus sp. SymC.cos
VDK47579.1	#f81c00	Cylicostephanus goldi
KAF3043043.1	#f90dc4	Didymella keratinophila
CAG5132259.1	#25e3db	Candidula unifasciata
CAH2725701.1	#a34609	Parascedosporium putredinis
KAI2949658.1	#86fb33	Aspergillus niger
KAF9691299.1	#2a9efd	Ascochyta lentis
VDC05544.1	#0f003a	Peniophora sp. CBMAI 1063
OQV06085.1	#48673c	Cladophialophora immunda
KAI1750880.1	#0dda8a	Xylaria castorea
XP_001663685.2	#c0890a	Aedes aegypti
XP_046120614.1	#bf563c	Emericellopsis atlantica
CAH2723753.1	#a34609	Parascedosporium putredinis
PZS40454.1	#dfbbc2	Pseudonocardiales bacterium
KAF8464457.1	#4b23f6	Kalaharituber pfeilii
CAG8960832.1	#406c3a	Hymenoscyphus fraxineus
KAI3906237.1	#72e3a3	Papaver atlanticum
EPE02553.1	#4b6648	Ophiostoma piceae
XP_031126629.1	#648d00	Ipomoea triloba
TVY52368.1	#ae3e46	Lachnellula cervina
PUU77273.1	#e7b9b3	Tuber borchii
KAH7125927.1	#56789d	Dactylonectria macrodidyma
KMT08955.1	#2c4423	Beta vulgaris
CAH1402251.1	#cbbf99	Nezara viridula
KAH7711214.1	#470fbd	Aphelenchus avenae
XP_045955902.1	#a0bd97	Truncatella angustata
OSS47223.1	#82d663	Epicoccum nigrum
VDO21514.1	#3439d3	Haemonchus placei
AWK28009.1	#f19a45	Pista macrolobata
XP_018125918.1	#c11338	Pseudogymnoascus verrucosus
WP_087100606.1	#2b2e97	Nocardiopsis sp. JB363
PAV63633.1	#39d392	Diploscapter pachys
KAG8948096.1	#12a702	Tulasnella sp. 424
XP_037783642.1	#b874ec	Penaeus monodon
XP_014601988.1	#894951	Polistes canadensis
AUO15579.1	#3a37d1	Tetrix subulata
KAF8988417.1	#2ed9e8	Cyathus striatus
XP_047008070.1	#e97dc1	Ictalurus punctatus
MBA3946773.1	#82598e	Herpetosiphonaceae bacterium
KAF4521662.1	#7f2377	Ephemera danica
RKP10025.1	#0cfead	Thamnocephalis sphaerospora
XP_005178578.1	#29e2f8	Musca domestica
KAI5081224.1	#9dee7b	Adiantum capillus-veneris
KAH9640838.1	#e5d840	Spodoptera exigua
KAF1362804.1	#09d49e	Lizonia empirigonia
KAH7446010.1	#749adb	Ceratopteris richardii
KAB0389772.1	#c16391	Balaenoptera physalus
CAG8979462.1	#f9b11a	Hymenoscyphus albidus
PSK42108.1	#d8c144	Elsinoe australis
XP_041551268.1	#5c7142	Aspergillus puulaauensis
XP_031829750.1	#7f2040	Nomia melanderi
ROW06577.1	#365054	Valsa malicola
ADR50356.1	#c6db3d	Oratosquilla oratoria
KAF6172145.1	#28f62f	Kingdonia uniflora
KAH7132381.1	#a51f3d	Dendryphion nanum
KAB2601167.1	#c801c7	Pyrus ussuriensis x Pyrus communis
KAF7594647.1	#6738f2	Aspergillus hancockii
XP_036582070.1	#7dd1bb	Colletotrichum truncatum
KAH9980145.1	#ee690a	Lactarius volemus
XP_039293530.1	#429572	Nilaparvata lugens
CDN40920.1	#63c9ca	Skogsbergia lerneri
KAG6794685.1	#c5a568	Apis mellifera
RKP06534.1	#0cfead	Thamnocephalis sphaerospora
POR34505.1	#8ccd4a	Tolypocladium paradoxum
AUO15577.1	#33a505	Teleogryllus commodus
KAF3047266.1	#f90dc4	Didymella keratinophila
GEW30780.1	#89ed12	Tanacetum cinerariifolium
AWK27996.2	#898138	Dorydrilus michaelseni
BAA08234.1	#b36a72	Phytolacca americana
GAQ45571.1	#86fb33	Aspergillus niger
KAF5609119.1	#a33cc1	Fusarium pseudoanthophilum
KAH7313855.1	#a6a09d	Stachybotrys elegans
NP_001104234.1	#c5a568	Apis mellifera
KAE9533818.1	#04f58d	Aphis glycines
XP_018702583.1	#07ac59	Cordyceps fumosorosea
KAF9051996.1	#aec3fa	Panaeolus papilionaceus
KZN07214.1	#ed572b	Daucus carota
PPS09945.1	#4e641e	Gossypium barbadense
PQE23424.1	#557504	Rutstroemia sp. NJR-2017a BBW
XP_007704379.1	#1b2f69	Bipolaris sorokiniana
KAI0049390.1	#795268	Auriscalpium vulgare
XP_033553334.1	#8a2cc9	Lindgomyces ingoldianus
PWA80843.1	#1cbd15	Artemisia annua
KAG4424821.1	#06692e	Cadophora malorum
OXU23520.1	#cc2203	Trichomalopsis sarcophagae
GAU48397.1	#459ffa	Trifolium subterraneum
KJH52769.1	#0e4243	Dictyocaulus viviparus
KAF8463421.1	#4b23f6	Kalaharituber pfeilii
XP_018069344.1	#e3a4b9	Mollisia scopiformis
KAH7561752.1	#e6ad84	Bipolaris maydis
VBB27738.1	#0320ed	Acanthocheilonema viteae
KAA6411725.1	#2a831f	Lasallia pustulata
KAF6812602.1	#d25608	Colletotrichum musicola
XP_044644385.1	#e809d2	Diaporthe batatas
VDI50192.1	#380da1	Mytilus galloprovincialis
MCK5888430.1	#97a537	Methylococcales bacterium
XP_027059309.1	#1f0907	Pocillopora damicornis
XP_048759477.1	#d83527	Ostrea edulis
Q9NFL6.3	#8294ce	Aphonopelma sp.
KAH0451033.1	#826b5e	Dendrobium chrysotoxum
AUO15585.1	#40ba6e	Ceuthophilus sp. XZ-2017
KIM28073.1	#507c4e	Serendipita vermifera
GFU88601.1	#922f4d	Trichonephila clavipes
XP_035374557.1	#5edce0	Lasiodiplodia theobromae
ABS19633.1	#cc0311	Eriocheir sinensis
EDS25679.1	#734722	Culex quinquefasciatus
KAH9954002.1	#79e3d9	Russula dissimulans
MBL8971030.1	#e7e713	Myxococcales bacterium
KAA0187159.1	#310e44	Hyalella azteca
KZM27132.1	#e42b9e	Ascochyta rabiei
XP_045454384.1	#e4d3d3	Melitaea cinxia
XP_018915947.1	#27c2aa	Bemisia tabaci
XP_018042710.1	#e2f238	Paraphaeosphaeria sporulosa
KAI0323589.1	#391e4c	Leiotrametes sp. BRFM 1775
XP_046612148.1	#3d473e	nan
RKP36616.1	#b51844	Dimargaris cristalligena
KAG7119311.1	#a6579e	Verticillium longisporum
XP_021902268.1	#ab64c7	Carica papaya
VFQ65322.1	#88733a	Cuscuta campestris
CAD2201968.1	#1e3493	Meloidogyne enterolobii
XP_044649219.1	#e809d2	Diaporthe batatas
KAB2637407.1	#c801c7	Pyrus ussuriensis x Pyrus communis
KZT32118.1	#54787c	Sistotremastrum suecicum
WP_140691945.1	#d7ea81	Mycobacterium hodleri
XP_011014566.1	#0bc50c	Populus euphratica
MCJ1441897.1	#1d70f7	Stictis urceolatum
WP_164283617.1	#c46aca	Streptomyces sp. SID11385
XP_001223255.1	#ddd6c9	Chaetomium globosum
XP_039025592.1	#1e8f9b	Hibiscus syriacus
PKA50207.1	#814b4e	Apostasia shenzhenica
XP_034241487.1	#0ddd02	Thrips palmi
CAF1079969.1	#ea7ee1	Didymodactylos carnosus
KIK65510.1	#cf169c	Gymnopus luxurians
VUC32086.1	#8e4345	Clonostachys rosea
KAF5310740.1	#a34162	Psilocybe cf. subviscida
RVX72642.1	#626def	Exophiala mesophila
KAH6788776.1	#f47900	Perilla frutescens
KAG8627161.1	#e439b2	Elsinoe batatas
KIM28123.1	#507c4e	Serendipita vermifera
KAI0917996.1	#aa48b5	Taiwanofungus camphoratus
GFT57366.1	#8be229	Nephila pilipes
PPQ64971.1	#8a093c	Panaeolus cyanescens
XP_027109324.1	#3e5e2b	Coffea arabica
TQB76544.1	#6d5d55	Monascus purpureus
EXF85656.1	#e84035	Colletotrichum fioriniae
PHH86986.1	#f24625	Cordyceps sp. RAO-2017
KAF2839090.1	#2bbc2c	Patellaria atrata
TFK17914.1	#b6a4be	Coprinopsis marcescibilis
P56824.1	#299f5b	Sepia officinalis
KAF1356442.1	#55557b	Delphinella strobiligena
XP_031097154.1	#648d00	Ipomoea triloba
KAG9229730.1	#99f8be	Amylocarpus encephaloides
KAF2664657.1	#a70c10	Microthyrium microscopicum
EJD52853.1	#4aac97	Auricularia subglabra
RDW60602.1	#d534b4	Coleophoma cylindrospora
URY20123.1	#bf0d56	Lyophyllum decastes
RFU26272.1	#178298	Scytalidium lignicola
VDP13771.1	#5b10c7	Soboliphyme baturini
PSN67571.1	#d768dc	Corynespora cassiicola
XP_032869042.1	#b2fd41	Amblyraja radiata
