DATASET_CONNECTION
SEPARATOR TAB
DATASET_LABEL	class_arrows
COLOR	#ff0000
ALIGN_TO_LABELS,1
CENTER_CURVES,1
CENTER_CURVES,1
DATA
A0A078AII6	A0A078ARQ6	2	#32b95c	dashed	Spirotrichea
A0A6P7S550	A0A6P7T4X6	2	#22836c	dashed	Cephalopoda
A0A6P7S550	A0A6P7TQ10	2	#22836c	dashed	Cephalopoda
A0A6P8HAX5	A0A6P8HXM1	2	#077d5d	dashed	Anthozoa
A0A6P8HAX5	A0A6P8I080	2	#077d5d	dashed	Anthozoa
A0A6P8HAX5	A0A6P8I0S2	2	#077d5d	dashed	Anthozoa
A0A6P8HAX5	A0A6P8I583	2	#077d5d	dashed	Anthozoa
A0A6P8HAX5	A0A6P8IBZ1	2	#077d5d	dashed	Anthozoa
A0A6P8HAX5	A0A6P8IFD5	2	#077d5d	dashed	Anthozoa
A0A6P8HAX5	A0A6P8IFJ7	2	#077d5d	dashed	Anthozoa
A0A6P8HAX5	A0A6P8ITZ4	2	#077d5d	dashed	Anthozoa
A0A6P8HAX5	A0A6P8IWU9	2	#077d5d	dashed	Anthozoa
A0A6P8HAX5	A0A6P8IXU5	2	#077d5d	dashed	Anthozoa
A0A6P7S550	A0A7E6ENM2	2	#22836c	dashed	Cephalopoda
A0A6P7S550	A0A7E6EPH5	2	#22836c	dashed	Cephalopoda
A0A6P7S550	A0A7E6EPK6	2	#22836c	dashed	Cephalopoda
A0A6P7S550	A0A7E6ER30	2	#22836c	dashed	Cephalopoda
A0A2K1IGC8	A0A7I3ZAZ7	2	#dc70bc	dashed	Bryopsida
A0A2K1IGC8	A0A7I4A3E3	2	#dc70bc	dashed	Bryopsida
A0A0H5S2I7	A0A7I4K6K6	2	#7d33c5	dashed	Chromadorea
A0A0H5S2I7	A0A7I4NJW8	2	#7d33c5	dashed	Chromadorea
A0A7M5U0C1	A0A7M5V4K9	2	#de3297	dashed	Hydrozoa
A0A7M5U0C1	A0A7M5WXX0	2	#de3297	dashed	Hydrozoa
A0A7M5U0C1	A0A7M5XIS8	2	#de3297	dashed	Hydrozoa
A0A7M5U0C1	A0A7M6DMJ9	2	#de3297	dashed	Hydrozoa
A0A7M5U0C1	A0A7M6DMK7	2	#de3297	dashed	Hydrozoa
A0A7M5U0C1	A0A7M6DQE2	2	#de3297	dashed	Hydrozoa
A0A841H042	A0A841H669	2	#d7ef6c	dashed	Longimicrobia
A0A8B8ABF3	A0A8B8BBF7	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8BDB7	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8BGL0	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8BJX3	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8BZ31	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8E9Z7	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EBN7	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8ECR7	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EDC2	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EEW4	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EFI5	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EIY1	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8ER43	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8ERQ6	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8ESA4	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EST9	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8ETR2	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EU86	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EX42	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EX72	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EXW9	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EY98	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EYB2	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8EZS9	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8F0L9	2	#56cb61	dashed	Bivalvia
A0A8B8ABF3	A0A8B8F0Y1	2	#56cb61	dashed	Bivalvia
A0A8C0C6N3	A0A8C0DW50	2	#1b04b1	dashed	Mammalia
A0A8C0C6N3	A0A8C0HUM2	2	#1b04b1	dashed	Mammalia
A0A8C4QBR2	A0A8C4QC18	2	#c0adeb	dashed	Myxini
A0A8C4QBR2	A0A8C4QZ32	2	#c0adeb	dashed	Myxini
A0A8C4RQH4	A0A8C4SH53	2	#eb0fc2	dashed	Cladistia
A0A8C4RQH4	A0A8C4SST0	2	#eb0fc2	dashed	Cladistia
A0A8C4QBR2	A0A8C4X1E1	2	#c0adeb	dashed	Myxini
A0A8H6L0G3	A0A8H6L2R8	2	#e9194b	dashed	Lecanoromycetes
A0A1L8FPX0	A0A8J0VPY8	2	#23b750	dashed	Amphibia
A0A1L8FPX0	A0A8J1KWE0	2	#23b750	dashed	Amphibia
A0A1L8FPX0	A0A8J1L3K0	2	#23b750	dashed	Amphibia
A0A1L8FPX0	A0A8J1MAN5	2	#23b750	dashed	Amphibia
A0A0H5S2I7	A0A8L7T7J8	2	#7d33c5	dashed	Chromadorea
A0A8S1IXD9	A0A8S1IXK5	2	#11ad24	dashed	Ulvophyceae
A0A8S1IXD9	A0A8S1JEY5	2	#11ad24	dashed	Ulvophyceae
A0A1L8FPX0	A0A974CJ53	2	#23b750	dashed	Amphibia
A0A1L8FPX0	A0A974DR61	2	#23b750	dashed	Amphibia
A0A1L8FPX0	A0A974DTG3	2	#23b750	dashed	Amphibia
A0A1L8FPX0	A0A974DZY5	2	#23b750	dashed	Amphibia
A0A1L8FPX0	A0A974HD76	2	#23b750	dashed	Amphibia
A0A1L8FPX0	A0A974HDN1	2	#23b750	dashed	Amphibia
A0A1L8FPX0	A0A974HWU9	2	#23b750	dashed	Amphibia
A0A9D4U2J2	A0A9D4U2Z4	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4U427	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4U4J8	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4UPM2	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4UQ41	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4UQE7	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4UQY4	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4UYP8	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4V1Q8	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4V2I4	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4V2P6	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4V772	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4V7B7	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4V7H8	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4V7R6	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4V926	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4Z585	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4Z6M7	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4ZGH9	2	#fa4778	dashed	Polypodiopsida
A0A9D4U2J2	A0A9D4ZI76	2	#fa4778	dashed	Polypodiopsida
A0A9K3KBA8	A0A9K3KLT7	2	#baaacb	dashed	Bacillariophyceae
A0A9K3KBA8	A0A9K3KMG5	2	#baaacb	dashed	Bacillariophyceae
A0A9K3KBA8	A0A9K3LNV3	2	#baaacb	dashed	Bacillariophyceae
A0A9K3KBA8	A0A9K3LRN8	2	#baaacb	dashed	Bacillariophyceae
A0A9K3KBA8	A0A9K3Q9J1	2	#baaacb	dashed	Bacillariophyceae
A0A9P8HZL9	A0A9P8I7W5	2	#87d72d	dashed	Geoglossomycetes
A0A9P8HZL9	A0A9P8L2T7	2	#87d72d	dashed	Geoglossomycetes
A0A2K1IGC8	A9SJQ8	2	#dc70bc	dashed	Bryopsida
A0A2K1IGC8	A9SUP1	2	#dc70bc	dashed	Bryopsida
A0A2K1IGC8	A9T5A8	2	#dc70bc	dashed	Bryopsida
A0A2K1IGC8	A9U439	2	#dc70bc	dashed	Bryopsida
A0A2K1IGC8	A9U514	2	#dc70bc	dashed	Bryopsida
A0A1L8FPX0	B1H1U5	2	#23b750	dashed	Amphibia
D8QTP9	D8REH0	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8RI09	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8RTL3	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8S0G1	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8S0G3	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8SB51	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8SB54	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8SFY9	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8T3T5	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8T5J9	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8T5K0	2	#5a2664	dashed	Lycopodiopsida
D8QTP9	D8T5K2	2	#5a2664	dashed	Lycopodiopsida
F6R2I4	F6SPL0	2	#ebe656	dashed	Ascidiacea
F6R2I4	F6UGD7	2	#ebe656	dashed	Ascidiacea
F6R2I4	F6XL13	2	#ebe656	dashed	Ascidiacea
I4YA87	I4YAA8	2	#06cfb6	dashed	Wallemiomycetes
I4YA87	I4YCE2	2	#06cfb6	dashed	Wallemiomycetes
I4YA87	I4YFA0	2	#06cfb6	dashed	Wallemiomycetes
A0A1L8FPX0	Q3KPL4	2	#23b750	dashed	Amphibia
A0A1L8FPX0	Q4V7Z3	2	#23b750	dashed	Amphibia
Q54QT0	Q54QT1	2	#48154e	dashed	Eumycetozoa
A0A2K1IGC8	Q56N25	2	#dc70bc	dashed	Bryopsida
A0A1L8FPX0	Q6GN92	2	#23b750	dashed	Amphibia
A0A1L8FPX0	Q7ZYE8	2	#23b750	dashed	Amphibia
R7THS2	R7UB97	2	#9355c6	dashed	Polychaeta
R7THS2	R7VC10	2	#9355c6	dashed	Polychaeta
V3ZAB2	V4A5X3	2	#01cbb1	dashed	Gastropoda
V3ZAB2	V4AN59	2	#01cbb1	dashed	Gastropoda
W9VMR6	W9WQA9	2	#daf54e	dashed	Eurotiomycetes
W9VMR6	W9WRS1	2	#daf54e	dashed	Eurotiomycetes
W9VMR6	W9WRW1	2	#daf54e	dashed	Eurotiomycetes
W9VMR6	W9X9Z6	2	#daf54e	dashed	Eurotiomycetes
